Timesteps,Mean Reward,Std Reward,EmergencyMonitor.Emergency Violations,EmergencyMonitor.Safety Violations,EmergencyMonitor.Stay Violations,EmergencyMonitor.Warn Violations
0,-97.7,25.03821079869726,6.174,2.502,2.83,0.842
250000,-48.607,7.655622182422537,7.14,2.429,3.865,0.846
500000,-19.108,23.912054198667246,4.374,1.613,1.928,0.833
750000,2.118,5.655446578299542,2.852,0.865,1.019,0.968
1000000,2.562,4.892663487304231,2.615,0.844,0.792,0.979
1250000,0.596,8.261282224933366,2.934,0.954,1.008,0.972
1500000,2.769,4.851560470611491,2.71,0.837,0.884,0.989
1750000,2.716,4.840386761406572,2.564,0.859,0.746,0.959
2000000,3.072,4.479823210797497,2.596,0.824,0.772,1.0
2250000,2.831,4.788364961027929,2.558,0.846,0.741,0.971
2500000,2.832,5.231804277684708,2.616,0.845,0.781,0.99
2750000,3.013,4.779835875843437,2.556,0.812,0.755,0.989
3000000,3.569,4.391723921195411,2.576,0.781,0.795,1.0
3250000,3.619,4.756662590514488,2.513,0.786,0.727,1.0
3500000,2.829,5.57187212703235,2.66,0.816,0.844,1.0
3750000,2.172,6.4934132780841844,2.636,0.847,0.789,1.0
4000000,3.698,4.289381773635916,2.518,0.79,0.747,0.981
4250000,3.302,4.486066874222898,2.598,0.811,0.8,0.987
4500000,3.279,4.65157596949679,2.6,0.824,0.776,1.0
4750000,3.576,4.322525187896537,2.535,0.789,0.746,1.0
5000000,3.556,4.396005459505254,2.54,0.783,0.757,1.0
