Timesteps,Mean Reward,Std Reward,EmergencyMonitor.Emergency Violations,EmergencyMonitor.Safety Violations,EmergencyMonitor.Stay Violations,EmergencyMonitor.Warn Violations
0,-97.261,25.194540658642698,6.483,2.439,3.19,0.854
250000,-48.25,8.59473676153028,6.0,2.49,2.737,0.773
500000,-13.71,20.53314150343293,3.857,1.504,1.484,0.869
750000,1.543,6.13939337394176,2.713,0.946,0.773,0.994
1000000,2.594,5.274577139449191,2.629,0.844,0.785,1.0
1250000,2.814,4.962802031111054,2.605,0.854,0.762,0.989
1500000,2.569,4.762272461756047,2.551,0.869,0.682,1.0
1750000,1.211,7.345371263591786,2.528,0.918,0.614,0.996
2000000,3.091,4.533951808301452,2.509,0.835,0.674,1.0
2250000,2.072,5.683380684064723,2.769,0.89,0.879,1.0
2500000,2.838,4.717600661353185,2.643,0.857,0.786,1.0
2750000,3.093,4.666299497460488,2.466,0.833,0.655,0.978
3000000,3.343,4.627456212650748,2.434,0.795,0.639,1.0
3250000,3.179,4.761823075251747,2.641,0.823,0.838,0.98
3500000,2.941,4.650969683840135,2.391,0.813,0.625,0.953
3750000,3.208,5.319279650479,2.537,0.791,0.746,1.0
4000000,2.36,5.316239272267568,2.619,0.916,0.72,0.983
4250000,3.328,4.453809156216732,2.413,0.819,0.603,0.991
4500000,1.207,7.858253686411504,2.587,0.909,0.691,0.987
4750000,2.935,4.8194164584522055,2.735,0.805,0.93,1.0
5000000,3.34,4.678076527804992,2.422,0.817,0.605,1.0
