Timesteps,Mean Reward,Std Reward,score,steps,CollectOneMonitor.CollectOne,CollectPermMonitor.CollectPerm,DrainMonitor.Drain,NoCollectMonitor.NoCollect,RescueMonitor.Rescue
0,-1077.38,68.1484820080389,21.15,1000.0,0.76,0.04,0.03,0.31,0.03
5000,-1076.76,68.2772465760007,21.35,1000.0,0.74,0.02,0.02,0.31,0.01
10000,52.88,145.65665999191384,140.8,880.4,0.54,0.07,0.31,0.55,0.24
15000,99.43699999999998,139.63961877275375,183.55,844.53,0.6,0.13,0.46,0.51,0.38
20000,177.84600000000003,128.38430076921398,240.4,636.04,0.57,0.07,0.47,0.55,0.34
25000,232.665,94.69875857158846,274.8,433.65,0.45,0.18,0.77,0.74,0.59
30000,167.41800000000003,230.6589067779521,277.75,410.92,0.36,0.16,0.79,0.87,0.65
35000,261.67600000000004,48.90658466914246,293.8,330.34,0.38,0.13,0.75,0.87,0.47
40000,265.985,65.22369565579676,299.1,281.25,0.29,0.15,0.72,0.99,0.53
45000,273.12100000000004,15.73255411559102,300.0,231.49,0.37,0.16,0.96,0.86,0.68
50000,135.069,148.37992229071963,201.3,647.71,0.44,0.14,0.51,0.76,0.41
55000,272.531,38.00642233886268,296.45,239.09,0.31,0.13,0.9,0.92,0.6
60000,276.471,7.585068160537519,300.0,222.79,0.26,0.21,1.08,0.98,0.79
65000,277.447,6.611118740425102,300.0,223.03,0.23,0.22,0.95,1.12,0.62
70000,277.189,6.136283810255192,300.0,229.91,0.27,0.24,1.13,1.04,0.74
75000,278.44800000000004,4.902641736859838,300.0,216.52,0.35,0.15,0.8,0.86,0.48
80000,278.652,4.4868804307670125,300.0,225.58,0.3,0.21,1.0,0.95,0.75
85000,278.34799999999996,7.183278917040599,300.0,224.02,0.33,0.2,0.93,0.93,0.64
90000,279.475,3.982948028784708,300.0,222.75,0.29,0.25,1.13,0.99,0.8
95000,279.12199999999996,4.055997534516015,300.0,226.28,0.32,0.32,0.98,0.98,0.66
100000,279.69499999999994,3.7957970177552953,300.0,220.55,0.35,0.19,0.83,0.89,0.56
