Timesteps,Mean Reward,Std Reward,EmergencyMonitor.Emergency Violations,EmergencyMonitor.Safety Violations,EmergencyMonitor.Stay Violations,EmergencyMonitor.Warn Violations
0,-95.246,23.922865296615285,6.341,2.543,2.919,0.879
250000,-48.657,7.2298928761081935,6.515,2.549,3.136,0.83
500000,-14.611,21.265504437938922,3.409,1.601,0.948,0.86
750000,1.932,5.5736322088921515,2.611,0.889,0.74,0.982
1000000,2.255,5.37586969708158,2.674,0.862,0.825,0.987
1250000,2.341,5.2473535234439845,2.527,0.879,0.675,0.973
1500000,2.48,4.987544486017142,2.702,0.855,0.857,0.99
1750000,2.268,5.029530395573726,2.616,0.889,0.76,0.967
2000000,1.998,5.214978044057329,2.5,0.88,0.647,0.973
2250000,2.906,4.891131157513566,2.507,0.862,0.645,1.0
2500000,1.444,5.7888568819759225,2.658,0.952,0.706,1.0
2750000,-0.3,9.308383318278207,2.711,0.941,0.807,0.963
3000000,3.088,4.863152886759782,2.515,0.828,0.701,0.986
3250000,2.293,6.604328202020248,2.544,0.829,0.715,1.0
3500000,3.207,4.70193056095047,2.591,0.83,0.761,1.0
3750000,3.316,4.739635429017721,2.509,0.787,0.739,0.983
4000000,2.5,5.507086343975369,2.491,0.887,0.616,0.988
4250000,2.995,4.6813432901251755,2.507,0.844,0.697,0.966
4500000,2.972,4.891340920442982,2.555,0.82,0.752,0.983
4750000,3.113,4.8075181746926345,2.674,0.815,0.859,1.0
5000000,3.403,4.835141259570396,2.57,0.791,0.779,1.0
