Timesteps,Mean Reward,Std Reward,ConditionalVeganMonitor.ConditionalVegan,HungryMonitor.Hungr,HungryVeganMonitor.Hungr,HungryVeganMonitor.VegetarianBlue,HungryVeganMonitor.VegetarianOrange,HungryVeganPenaltyMonitor.CTD Violations,HungryVeganPenaltyMonitor.Hungr,HungryVeganPenaltyMonitor.VegetarianBlue,HungryVeganPenaltyMonitor.VegetarianOrange,HungryVegetarianMonitor.Hungr,HungryVegetarianMonitor.VegetarianOrange,PenaltyMonitor.CTD,PenaltyMonitor.Penalty(total),VeganMonitor.Vegan,VeganPreferenceMonitor.VegetarianBlue,VeganPreferenceMonitor.VegetarianOrange,VegetarianBlueMonitor.VegetarianBlue,VegetarianOrangeMonitor.VegetarianOrange
0,-5.59187,0.4120036445227153,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250000,10.46098,5.893197284971885,1.535,0.807,0.807,1.216,1.189,2.354,0.807,1.216,1.189,0.807,1.189,2.319,4.724,2.405,1.216,1.189,1.216,1.189
500000,13.15102,5.310311117025066,1.533,0.799,0.799,1.577,1.433,2.936,0.799,1.577,1.433,0.799,1.433,2.774,5.784,3.01,1.577,1.433,1.577,1.433
750000,13.77809,5.612191270074462,1.781,0.773,0.773,1.628,1.708,3.268,0.773,1.628,1.708,0.773,1.708,3.165,6.501,3.336,1.628,1.708,1.628,1.708
1000000,13.61847,5.900137469508655,1.828,0.774,0.774,1.723,1.711,3.352,0.774,1.723,1.711,0.774,1.711,3.283,6.717,3.434,1.723,1.711,1.723,1.711
1250000,14.139470000000001,5.169756011563795,1.727,0.776,0.776,1.736,1.752,3.405,0.776,1.736,1.752,0.776,1.752,3.294,6.782,3.488,1.736,1.752,1.736,1.752
1500000,14.44816,5.121481525340104,1.784,0.786,0.786,1.774,1.811,3.493,0.786,1.774,1.811,0.786,1.811,3.353,6.938,3.585,1.774,1.811,1.774,1.811
1750000,14.884079999999997,5.035304117290235,1.848,0.798,0.798,1.835,1.833,3.587,0.798,1.835,1.833,0.798,1.833,3.501,7.169,3.668,1.835,1.833,1.835,1.833
2000000,13.68491,6.093740000352821,1.838,0.739,0.739,1.731,1.793,3.45,0.739,1.731,1.793,0.739,1.793,3.255,6.779,3.524,1.731,1.793,1.731,1.793
2250000,14.70367,4.769373484127659,1.894,0.79,0.79,1.764,1.762,3.452,0.79,1.764,1.762,0.79,1.762,3.315,6.841,3.526,1.764,1.762,1.764,1.762
2500000,13.992790000000001,5.6806002777787485,1.806,0.729,0.729,1.805,1.722,3.45,0.729,1.805,1.722,0.729,1.722,3.305,6.832,3.527,1.805,1.722,1.805,1.722
2750000,14.57977,5.3412665770489305,1.886,0.803,0.803,1.81,1.828,3.553,0.803,1.81,1.828,0.803,1.828,3.388,7.026,3.638,1.81,1.828,1.81,1.828
3000000,14.655529999999999,5.223939674144409,1.901,0.746,0.746,1.805,1.854,3.566,0.746,1.805,1.854,0.746,1.854,3.477,7.136,3.659,1.805,1.854,1.805,1.854
3250000,14.573139999999999,5.127714007274586,1.716,0.782,0.782,1.786,1.778,3.472,0.782,1.786,1.778,0.782,1.778,3.298,6.862,3.564,1.786,1.778,1.786,1.778
3500000,14.75182,4.7953668564146374,1.808,0.78,0.78,1.794,1.77,3.486,0.78,1.794,1.77,0.78,1.77,3.286,6.85,3.564,1.794,1.77,1.794,1.77
3750000,14.52416,5.208445535320496,1.861,0.772,0.772,1.804,1.784,3.5,0.772,1.804,1.784,0.772,1.784,3.365,6.953,3.588,1.804,1.784,1.804,1.784
4000000,15.186810000000001,4.592181172808843,1.856,0.766,0.766,1.833,1.835,3.579,0.766,1.833,1.835,0.766,1.835,3.455,7.123,3.668,1.833,1.835,1.833,1.835
4250000,15.0643,4.693843426233986,1.87,0.773,0.773,1.835,1.857,3.623,0.773,1.835,1.857,0.773,1.857,3.45,7.142,3.692,1.835,1.857,1.835,1.857
4500000,14.879380000000001,4.878179723585427,1.857,0.757,0.757,1.833,1.842,3.582,0.757,1.833,1.842,0.757,1.842,3.443,7.118,3.675,1.833,1.842,1.833,1.842
4750000,14.60092,5.440092347892635,1.92,0.776,0.776,1.849,1.838,3.607,0.776,1.849,1.838,0.776,1.838,3.478,7.165,3.687,1.849,1.838,1.849,1.838
5000000,14.697209999999998,5.178585937869526,1.851,0.769,0.769,1.833,1.84,3.57,0.769,1.833,1.84,0.769,1.84,3.359,7.032,3.673,1.833,1.84,1.833,1.84
