Timesteps,Mean Reward,Std Reward,Death,Timeout,UnloadDanger,UnloadMarket,DangerMonitor.Danger,DeliveryMonitor.Delivery,EnvFriendlyMonitor.EnvFriendly,EvolvingMonitor.Evolving,PacifistMonitor.CTD,PacifistMonitor.Danger,PacifistMonitor.Pacifist(total)
0,70.2,185.63932772987516,0.473,0.216,0.804,0.311,3.181,2.618,0.517,0.607,1.424,3.181,4.605
250000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
500000,475.65,56.47634460550719,0.0,0.0,1.327,1.0,1.327,1.0,1.171,1.171,0.0,1.327,1.327
750000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1000000,620.1,253.49751478071732,0.137,0.0,0.933,0.863,1.647,0.796,2.478,3.478,0.44,1.647,2.087
1250000,638.85,65.71284121083184,0.0,0.0,1.49,1.0,1.49,0.933,2.192,3.192,0.0,1.49,1.49
1500000,636.6,64.4239086054238,0.0,0.0,1.634,1.0,1.634,1.0,2.183,2.183,0.0,1.634,1.634
1750000,603.8,298.2541868943335,0.17,0.0,0.932,0.83,1.796,0.762,2.354,3.084,0.524,1.796,2.32
2000000,723.45,57.25030567603984,0.0,0.0,0.952,1.0,0.952,0.952,2.775,3.775,0.0,0.952,0.952
2250000,723.45,57.25030567603984,0.0,0.0,0.926,1.0,0.926,0.926,2.749,3.749,0.0,0.926,0.926
2500000,721.8,58.60682554105794,0.0,0.0,0.936,1.0,0.936,0.936,2.748,3.748,0.0,0.936,0.936
2750000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0
3000000,716.1,128.9991860439437,0.033,0.0,0.928,0.967,1.082,0.928,2.79,3.55,0.088,1.082,1.17
3250000,639.3,65.95839597807091,0.0,0.0,1.481,1.0,1.481,0.934,2.196,3.196,0.0,1.481,1.481
3500000,740.55,36.44444402100271,0.0,0.0,0.937,1.0,0.937,0.937,2.874,3.612,0.0,0.937,0.937
3750000,737.4,93.06578318587341,0.018,0.0,0.929,0.982,0.997,0.982,2.893,3.649,0.032,0.997,1.029
4000000,742.05,33.6050219461318,0.0,0.0,0.947,1.0,0.947,0.947,2.894,3.623,0.0,0.947,0.947
4250000,743.4,30.764264983906248,0.0,0.0,0.956,1.0,0.956,0.956,2.912,3.686,0.0,0.956,0.956
4500000,750.0,0.0,0.0,0.0,0.744,1.0,0.744,0.744,2.744,3.744,0.0,0.744,0.744
4750000,750.0,0.0,0.0,0.0,0.733,1.0,0.733,1.0,2.733,3.0,0.0,0.733,0.733
5000000,750.0,0.0,0.0,0.0,0.765,1.0,0.765,1.0,2.765,3.765,0.0,0.765,0.765
