Timesteps,Mean Reward,Std Reward,ConditionalVeganMonitor.ConditionalVegan,HungryMonitor.Hungr,HungryVeganMonitor.Hungr,HungryVeganMonitor.VegetarianBlue,HungryVeganMonitor.VegetarianOrange,HungryVeganPenaltyMonitor.CTD Violations,HungryVeganPenaltyMonitor.Hungr,HungryVeganPenaltyMonitor.VegetarianBlue,HungryVeganPenaltyMonitor.VegetarianOrange,HungryVegetarianMonitor.Hungr,HungryVegetarianMonitor.VegetarianOrange,PenaltyMonitor.CTD,PenaltyMonitor.Penalty(total),VeganMonitor.Vegan,VeganPreferenceMonitor.VegetarianBlue,VeganPreferenceMonitor.VegetarianOrange,VegetarianBlueMonitor.VegetarianBlue,VegetarianOrangeMonitor.VegetarianOrange
0,-5.60074,0.49386359695770243,0.0,0.995,0.995,0.0,0.0,0.0,0.995,0.0,0.0,0.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250000,10.00048,6.007009752747202,0.848,0.783,0.783,0.963,1.03,1.961,0.783,0.963,1.03,0.783,1.03,1.899,3.892,1.993,0.963,1.03,0.963,1.03
500000,12.57201,5.376969412215398,1.628,0.575,0.575,1.494,1.519,2.952,0.575,1.494,1.519,0.575,1.519,2.845,5.858,3.013,1.494,1.519,1.494,1.519
750000,13.504290000000001,5.422891101239264,1.713,0.751,0.751,1.628,1.671,3.212,0.751,1.628,1.671,0.751,1.671,3.131,6.43,3.299,1.628,1.671,1.628,1.671
1000000,13.51951,5.792256163180285,1.739,0.861,0.861,1.757,1.725,3.423,0.861,1.757,1.725,0.861,1.725,3.257,6.739,3.482,1.757,1.725,1.757,1.725
1250000,13.929950000000002,5.402924346823672,1.772,0.884,0.884,1.775,1.793,3.51,0.884,1.775,1.793,0.884,1.793,3.308,6.876,3.568,1.775,1.793,1.775,1.793
1500000,13.00862,6.1618343774885735,1.511,0.674,0.674,1.594,1.512,3.047,0.674,1.594,1.512,0.674,1.512,2.901,6.007,3.106,1.594,1.512,1.594,1.512
1750000,14.570170000000001,4.9576387999833145,1.797,0.738,0.738,1.826,1.777,3.532,0.738,1.826,1.777,0.738,1.777,3.389,6.992,3.603,1.826,1.777,1.826,1.777
2000000,14.7014,4.878779667088892,1.661,0.788,0.788,1.811,1.777,3.512,0.788,1.811,1.777,0.788,1.777,3.356,6.944,3.588,1.811,1.777,1.811,1.777
2250000,13.61548,6.06213932284635,1.709,0.809,0.809,1.772,1.741,3.45,0.809,1.772,1.741,0.809,1.741,3.231,6.744,3.513,1.772,1.741,1.772,1.741
2500000,13.947470000000001,5.712625219555367,1.764,0.722,0.722,1.771,1.761,3.45,0.722,1.771,1.761,0.722,1.761,3.25,6.782,3.532,1.771,1.761,1.771,1.761
2750000,14.64421,5.003327650264372,1.784,0.758,0.758,1.813,1.811,3.529,0.758,1.813,1.811,0.758,1.811,3.377,7.001,3.624,1.813,1.811,1.813,1.811
3000000,14.764059999999997,5.257237650743972,1.791,0.813,0.813,1.837,1.859,3.608,0.813,1.837,1.859,0.813,1.859,3.46,7.156,3.696,1.837,1.859,1.837,1.859
3250000,15.3433,4.182989207492652,1.805,0.77,0.77,1.842,1.828,3.575,0.77,1.842,1.828,0.77,1.828,3.495,7.165,3.67,1.842,1.828,1.842,1.828
3500000,14.410849999999998,5.598375798166821,1.762,0.814,0.814,1.797,1.802,3.527,0.814,1.797,1.802,0.814,1.802,3.411,7.01,3.599,1.797,1.802,1.797,1.802
3750000,14.553040000000001,5.3779069495854985,1.836,0.788,0.788,1.793,1.817,3.516,0.788,1.793,1.817,0.788,1.817,3.392,7.002,3.61,1.793,1.817,1.793,1.817
4000000,14.99572,4.832658076214372,1.84,0.858,0.858,1.855,1.829,3.6,0.858,1.855,1.829,0.858,1.829,3.397,7.081,3.684,1.855,1.829,1.855,1.829
4250000,14.37732,5.19936686699448,1.843,0.886,0.886,1.806,1.843,3.561,0.886,1.806,1.843,0.886,1.843,3.419,7.068,3.649,1.806,1.843,1.806,1.843
4500000,14.728620000000001,5.033442628619105,1.744,0.887,0.887,1.823,1.839,3.587,0.887,1.823,1.839,0.887,1.839,3.422,7.084,3.662,1.823,1.839,1.823,1.839
4750000,15.07175,4.792829585693612,1.837,0.798,0.798,1.84,1.839,3.589,0.798,1.84,1.839,0.798,1.839,3.474,7.153,3.679,1.84,1.839,1.84,1.839
5000000,15.020809999999999,4.875419391590841,1.78,0.792,0.792,1.845,1.845,3.6,0.792,1.845,1.845,0.792,1.845,3.479,7.169,3.69,1.845,1.845,1.845,1.845
