Timesteps,Mean Reward,Std Reward,ConditionalVeganMonitor.ConditionalVegan,HungryMonitor.Hungr,HungryVeganMonitor.Hungr,HungryVeganMonitor.VegetarianBlue,HungryVeganMonitor.VegetarianOrange,HungryVeganPenaltyMonitor.CTD Violations,HungryVeganPenaltyMonitor.Hungr,HungryVeganPenaltyMonitor.VegetarianBlue,HungryVeganPenaltyMonitor.VegetarianOrange,HungryVegetarianMonitor.Hungr,HungryVegetarianMonitor.VegetarianOrange,PenaltyMonitor.CTD,PenaltyMonitor.Penalty(total),VeganMonitor.Vegan,VeganPreferenceMonitor.VegetarianBlue,VeganPreferenceMonitor.VegetarianOrange,VegetarianBlueMonitor.VegetarianBlue,VegetarianOrangeMonitor.VegetarianOrange
0,-4.50246,0.6965216065564657,0.0,1.126,1.126,0.0,0.0,0.0,1.126,0.0,0.0,1.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250000,7.581480000000001,6.000724373740224,0.918,0.915,0.915,0.96,1.03,1.936,0.915,0.96,1.03,0.915,1.03,1.849,3.839,1.99,0.96,1.03,0.96,1.03
500000,11.939770000000001,5.348204637735919,1.238,0.944,0.944,1.345,1.265,2.566,0.944,1.345,1.265,0.944,1.265,2.535,5.145,2.61,1.345,1.265,1.345,1.265
750000,13.8627,4.954252245293935,1.507,0.785,0.785,1.563,1.587,3.073,0.785,1.563,1.587,0.785,1.587,3.026,6.176,3.15,1.563,1.587,1.563,1.587
1000000,14.20195,5.040565235913528,1.666,0.816,0.816,1.64,1.623,3.188,0.816,1.64,1.623,0.816,1.623,3.058,6.321,3.263,1.64,1.623,1.64,1.623
1250000,14.59619,4.887050397110715,1.673,0.782,0.782,1.717,1.709,3.36,0.782,1.717,1.709,0.782,1.709,3.253,6.679,3.426,1.717,1.709,1.717,1.709
1500000,14.27886,5.192261077834973,1.864,0.829,0.829,1.75,1.784,3.489,0.829,1.75,1.784,0.829,1.784,3.381,6.915,3.534,1.75,1.784,1.75,1.784
1750000,14.587959999999999,5.042338548570495,1.795,0.792,0.792,1.791,1.833,3.539,0.792,1.791,1.833,0.792,1.833,3.411,7.035,3.624,1.791,1.833,1.791,1.833
2000000,14.698199999999998,5.0170121945237485,1.817,0.782,0.782,1.827,1.811,3.552,0.782,1.827,1.811,0.782,1.811,3.435,7.073,3.638,1.827,1.811,1.827,1.811
2250000,14.62792,4.855635537558395,1.791,0.764,0.764,1.786,1.799,3.508,0.764,1.786,1.799,0.764,1.799,3.334,6.919,3.585,1.786,1.799,1.786,1.799
2500000,14.70271,5.237215057251325,1.791,0.778,0.778,1.815,1.765,3.5,0.778,1.815,1.765,0.778,1.765,3.4,6.98,3.58,1.815,1.765,1.815,1.765
2750000,14.35216,5.186224863462825,1.735,0.738,0.738,1.803,1.823,3.554,0.738,1.803,1.823,0.738,1.823,3.446,7.072,3.626,1.803,1.823,1.803,1.823
3000000,15.021619999999999,4.880472618056575,1.861,0.819,0.819,1.816,1.819,3.563,0.819,1.816,1.819,0.819,1.819,3.474,7.109,3.635,1.816,1.819,1.816,1.819
3250000,14.70575,5.016837852422579,1.719,0.78,0.78,1.757,1.777,3.476,0.78,1.757,1.777,0.78,1.777,3.249,6.783,3.534,1.757,1.777,1.757,1.777
3500000,14.37418,5.774828735780829,1.761,0.783,0.783,1.78,1.811,3.511,0.783,1.78,1.811,0.783,1.811,3.336,6.927,3.591,1.78,1.811,1.78,1.811
3750000,14.89616,4.750648866670741,1.655,0.815,0.815,1.753,1.75,3.428,0.815,1.753,1.75,0.815,1.75,3.248,6.751,3.503,1.753,1.75,1.753,1.75
4000000,14.6293,5.268437976288608,1.823,0.782,0.782,1.768,1.743,3.451,0.782,1.768,1.743,0.782,1.743,3.3,6.811,3.511,1.768,1.743,1.768,1.743
4250000,15.275419999999999,4.456174931889456,1.911,0.81,0.81,1.827,1.85,3.618,0.81,1.827,1.85,0.81,1.85,3.523,7.2,3.677,1.827,1.85,1.827,1.85
4500000,15.1339,4.774444071302962,1.803,0.874,0.874,1.876,1.824,3.64,0.874,1.876,1.824,0.874,1.824,3.558,7.258,3.7,1.876,1.824,1.876,1.824
4750000,14.834950000000001,4.845451062336716,1.846,0.738,0.738,1.809,1.841,3.571,0.738,1.809,1.841,0.738,1.841,3.384,7.034,3.65,1.809,1.841,1.809,1.841
5000000,15.494039999999998,4.279169648237845,1.9,0.764,0.764,1.854,1.859,3.635,0.764,1.854,1.859,0.764,1.859,3.526,7.239,3.713,1.854,1.859,1.854,1.859
