Timesteps,Mean Reward,Std Reward,EmergencyMonitor.Emergency Violations,EmergencyMonitor.Safety Violations,EmergencyMonitor.Stay Violations,EmergencyMonitor.Warn Violations
0,-96.815,25.803309380775172,6.176,2.482,2.836,0.858
250000,-48.249,8.54768968786303,6.463,2.543,3.132,0.788
500000,-20.718,23.41509077496818,4.299,1.657,1.809,0.833
750000,1.445,6.789033436358964,2.516,0.939,0.594,0.983
1000000,-0.859,10.128628683094272,2.554,1.027,0.54,0.987
1250000,2.681,5.037185622944622,2.604,0.855,0.78,0.969
1500000,2.914,4.944552962604405,2.506,0.838,0.68,0.988
1750000,3.227,4.607762038126535,2.422,0.829,0.609,0.984
2000000,3.294,4.603646815297629,2.485,0.82,0.678,0.987
2250000,2.202,6.301999365280831,2.48,0.895,0.612,0.973
2500000,3.25,4.630928632574681,2.464,0.829,0.675,0.96
2750000,3.21,4.779738486570159,2.489,0.811,0.681,0.997
3000000,2.486,5.527911359636658,2.551,0.855,0.727,0.969
3250000,3.129,5.605208203091121,2.524,0.809,0.715,1.0
3500000,2.722,6.2568934783964485,2.484,0.82,0.673,0.991
3750000,3.389,4.6752196739832454,2.647,0.788,0.888,0.971
4000000,3.769,4.167929821866006,2.405,0.782,0.636,0.987
4250000,3.526,4.545472912690164,2.432,0.79,0.651,0.991
4500000,3.542,4.6045885809700735,2.551,0.789,0.771,0.991
4750000,3.995,4.061893031580226,2.368,0.753,0.615,1.0
5000000,3.32,4.8476386003909155,2.488,0.803,0.702,0.983
