Timesteps,Mean Reward,Std Reward,Death,Timeout,UnloadDanger,UnloadMarket,DangerMonitor.Danger,DeliveryMonitor.Delivery,EnvFriendlyMonitor.EnvFriendly,EvolvingMonitor.Evolving,PacifistMonitor.CTD,PacifistMonitor.Danger,PacifistMonitor.Pacifist(total)
0,72.2,181.8437791072326,0.467,0.207,0.85,0.326,3.163,2.615,0.508,0.599,1.37,3.163,4.533
250000,334.05,62.8338881496283,0.0,0.0,0.773,1.0,0.773,1.0,1.0,1.0,0.0,0.773,0.773
500000,562.2,65.12418905445196,0.0,0.0,1.305,1.0,1.305,1.0,1.748,2.0,0.0,1.305,1.305
750000,508.15,273.9088853980462,0.187,0.0,0.615,0.813,1.564,0.75,1.626,2.439,0.575,1.564,2.139
1000000,580.35,70.00983859430045,0.0,0.0,1.531,1.0,1.531,1.0,2.0,3.0,0.0,1.531,1.531
1250000,608.1,125.59613847567128,0.045,0.0,1.494,0.955,1.687,0.935,2.139,3.139,0.103,1.687,1.79
1500000,642.75,67.71216655815999,0.0,0.0,1.453,1.0,1.453,0.93,2.215,3.215,0.0,1.453,1.453
1750000,547.2,125.32820911510703,0.0,0.0,1.531,1.0,1.531,0.944,2.179,3.179,0.0,1.531,1.531
2000000,600.9,279.5249362758179,0.15,0.0,0.953,0.85,1.68,0.803,2.309,3.309,0.427,1.68,2.107
2250000,635.55,63.786342582091976,0.0,0.0,1.523,1.0,1.523,0.946,2.183,3.183,0.0,1.523,1.523
2500000,504.45,234.17450224138406,0.0,0.174,1.985,0.826,1.985,1.0,1.994,1.994,0.0,1.985,1.985
2750000,636.6,64.42390860542382,0.0,0.0,1.515,1.0,1.515,0.937,2.181,3.181,0.0,1.515,1.515
3000000,635.7,63.8788697457931,0.0,0.0,1.502,1.0,1.502,0.93,2.168,3.168,0.0,1.502,1.502
3250000,631.35,160.52936647230624,0.049,0.0,1.296,0.951,1.526,0.882,2.106,3.106,0.132,1.526,1.658
3500000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0
3750000,646.35,69.31217425532112,0.0,0.0,1.622,1.0,1.622,1.0,2.24,2.979,0.0,1.622,1.622
4000000,544.8,139.4738685202357,0.0,0.0,1.628,1.0,1.628,1.0,2.26,3.042,0.0,1.628,1.628
4250000,600.4,311.92922274131354,0.187,0.0,0.749,0.813,1.69,0.813,2.231,2.98,0.567,1.69,2.257
4500000,626.0,170.95028517086482,0.05,0.0,1.292,0.95,1.546,0.95,2.072,2.804,0.154,1.546,1.7
4750000,639.3,65.95839597807091,0.0,0.0,1.485,1.0,1.485,0.935,2.197,3.197,0.0,1.485,1.485
5000000,610.8,270.67205249157143,0.138,0.0,0.948,0.862,1.649,0.862,2.342,3.342,0.425,1.649,2.074
