Timesteps,Mean Reward,Std Reward,ConditionalVeganMonitor.ConditionalVegan,HungryMonitor.Hungr,HungryVeganMonitor.Hungr,HungryVeganMonitor.VegetarianBlue,HungryVeganMonitor.VegetarianOrange,HungryVeganPenaltyMonitor.CTD Violations,HungryVeganPenaltyMonitor.Hungr,HungryVeganPenaltyMonitor.VegetarianBlue,HungryVeganPenaltyMonitor.VegetarianOrange,HungryVegetarianMonitor.Hungr,HungryVegetarianMonitor.VegetarianOrange,PenaltyMonitor.CTD,PenaltyMonitor.Penalty(total),VeganMonitor.Vegan,VeganPreferenceMonitor.VegetarianBlue,VeganPreferenceMonitor.VegetarianOrange,VegetarianBlueMonitor.VegetarianBlue,VegetarianOrangeMonitor.VegetarianOrange
0,-5.6095299999999995,0.5754060123947263,0.0,0.996,0.996,0.0,0.0,0.0,0.996,0.0,0.0,0.996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250000,10.479280000000001,5.441738663478797,1.045,0.773,0.773,1.17,1.133,2.237,0.773,1.17,1.133,0.773,1.133,2.147,4.45,2.303,1.17,1.133,1.17,1.133
500000,13.82675,4.5928084150658846,1.423,0.774,0.774,1.359,1.452,2.747,0.774,1.359,1.452,0.774,1.452,2.705,5.516,2.811,1.359,1.452,1.359,1.452
750000,14.53841,4.177000283923859,1.598,0.732,0.732,1.492,1.541,2.97,0.732,1.492,1.541,0.732,1.541,2.923,5.956,3.033,1.492,1.541,1.492,1.541
1000000,14.57717,4.607127726805499,1.669,0.789,0.789,1.617,1.623,3.183,0.789,1.617,1.623,0.789,1.623,3.122,6.362,3.24,1.617,1.623,1.617,1.623
1250000,14.01913,5.510054876596058,1.597,0.787,0.787,1.641,1.644,3.217,0.787,1.641,1.644,0.787,1.644,3.15,6.435,3.285,1.641,1.644,1.641,1.644
1500000,14.936720000000001,4.2902598804268255,1.641,0.819,0.819,1.657,1.629,3.224,0.819,1.657,1.629,0.819,1.629,3.114,6.4,3.286,1.657,1.629,1.657,1.629
1750000,14.99337,4.176179898316163,1.703,0.793,0.793,1.755,1.595,3.281,0.793,1.755,1.595,0.793,1.595,3.171,6.521,3.35,1.755,1.595,1.755,1.595
2000000,14.970369999999999,4.3186837072307105,1.701,0.816,0.816,1.718,1.692,3.337,0.816,1.718,1.692,0.816,1.692,3.289,6.699,3.41,1.718,1.692,1.718,1.692
2250000,14.99289,4.652392798109377,1.77,0.843,0.843,1.732,1.701,3.378,0.843,1.732,1.701,0.843,1.701,3.282,6.715,3.433,1.732,1.701,1.732,1.701
2500000,14.65621,4.867369139062704,1.696,0.776,0.776,1.745,1.699,3.365,0.776,1.745,1.699,0.776,1.699,3.28,6.724,3.444,1.745,1.699,1.745,1.699
2750000,14.67948,4.6447764348351575,1.709,0.793,0.793,1.742,1.699,3.368,0.793,1.742,1.699,0.793,1.699,3.183,6.624,3.441,1.742,1.699,1.742,1.699
3000000,14.68102,4.98047521423408,1.738,0.78,0.78,1.759,1.698,3.371,0.78,1.759,1.698,0.78,1.698,3.236,6.693,3.457,1.759,1.698,1.759,1.698
3250000,14.75724,4.812763487062292,1.777,0.747,0.747,1.755,1.728,3.406,0.747,1.755,1.728,0.747,1.728,3.239,6.722,3.483,1.755,1.728,1.755,1.728
3500000,15.008779999999998,4.622543056759991,1.814,0.762,0.762,1.791,1.8,3.513,0.762,1.791,1.8,0.762,1.8,3.378,6.969,3.591,1.791,1.8,1.791,1.8
3750000,14.99898,4.310839379935189,1.752,0.802,0.802,1.747,1.701,3.388,0.802,1.747,1.701,0.802,1.701,3.234,6.682,3.448,1.747,1.701,1.747,1.701
4000000,15.060889999999999,4.368686382415199,1.733,0.79,0.79,1.769,1.771,3.468,0.79,1.769,1.771,0.79,1.771,3.314,6.854,3.54,1.769,1.771,1.769,1.771
4250000,14.4121,5.263852257615139,1.738,0.788,0.788,1.745,1.76,3.419,0.788,1.745,1.76,0.788,1.76,3.297,6.802,3.505,1.745,1.76,1.745,1.76
4500000,14.56836,5.1429261233659584,1.77,0.77,0.77,1.76,1.682,3.384,0.77,1.76,1.682,0.77,1.682,3.258,6.7,3.442,1.76,1.682,1.76,1.682
4750000,14.96157,4.590270780150121,1.784,0.741,0.741,1.797,1.777,3.504,0.741,1.797,1.777,0.741,1.777,3.381,6.955,3.574,1.797,1.777,1.797,1.777
5000000,15.283869999999999,4.264193396540546,1.877,0.792,0.792,1.797,1.793,3.51,0.792,1.797,1.793,0.792,1.793,3.356,6.946,3.59,1.797,1.793,1.797,1.793
