Timesteps,Mean Reward,Std Reward,score,steps,CollectOneMonitor.CollectOne,CollectPermMonitor.CollectPerm,DrainMonitor.Drain,NoCollectMonitor.NoCollect,RescueMonitor.Rescue
0,-1066.69,81.12998151115283,31.5,1000.0,0.69,0.0,0.38,0.39,0.38
5000,-1069.21,77.8157175639986,28.85,1000.0,0.72,0.0,0.04,0.35,0.03
10000,115.40299999999999,138.35280442043813,193.5,786.67,0.53,0.18,0.46,0.62,0.36
15000,143.727,151.48180541239927,208.25,653.63,0.57,0.11,0.5,0.58,0.43
20000,204.21000000000004,119.4734937130408,258.25,515.0,0.55,0.12,0.52,0.54,0.42
25000,220.82,112.24504621585756,264.05,446.7,0.51,0.13,0.55,0.67,0.42
30000,256.848,66.068498514799,291.75,322.92,0.38,0.19,1.1,0.83,0.99
35000,275.39099999999996,13.454278836117528,300.0,247.29,0.25,0.21,0.88,1.03,0.64
40000,263.117,135.168563693634,297.1,243.63,0.29,0.17,0.88,0.94,0.63
45000,278.47700000000003,4.7718309903013125,300.0,231.03,0.23,0.3,1.3,1.13,0.88
50000,278.73900000000003,4.657872797747915,300.0,226.11,0.31,0.15,1.03,0.95,0.78
55000,277.6290000000001,4.928839518588527,300.0,227.81,0.32,0.25,0.97,0.89,0.77
60000,278.98099999999994,4.624385256442201,300.0,221.29,0.29,0.21,1.08,1.02,0.74
65000,279.032,3.9297043145763544,300.0,222.18,0.33,0.2,0.93,0.91,0.7
70000,278.49600000000004,5.238433353589601,300.0,222.64,0.27,0.23,1.03,1.05,0.63
75000,277.344,6.401036166121854,300.0,228.26,0.33,0.17,0.82,0.86,0.51
80000,278.337,4.737587044055232,300.0,223.03,0.32,0.2,0.91,0.97,0.71
85000,278.924,4.099710233662861,300.0,230.16,0.3,0.2,0.69,1.0,0.47
90000,279.33299999999997,4.9207734148200695,300.0,227.57,0.25,0.24,0.82,1.03,0.57
95000,278.35,6.992102688033122,300.0,224.8,0.39,0.22,0.96,0.9,0.67
100000,277.557,14.892946350537894,300.0,224.93,0.26,0.22,0.89,1.01,0.57
