Timesteps,Mean Reward,Std Reward,EmergencyMonitor.Emergency Violations,EmergencyMonitor.Safety Violations,EmergencyMonitor.Stay Violations,EmergencyMonitor.Warn Violations
0,-96.02,24.60600739656883,6.287,2.543,2.881,0.863
250000,-48.818,6.718398321028607,5.874,2.604,2.427,0.843
500000,-16.355,20.91781477592724,4.549,1.581,2.143,0.825
750000,1.685,7.80408707024723,2.725,0.922,0.834,0.969
1000000,2.774,4.810501429165155,2.676,0.844,0.857,0.975
1250000,2.795,4.7641342340450485,2.802,0.824,1.023,0.955
1500000,2.768,4.770972227963605,2.694,0.81,0.938,0.946
1750000,2.75,5.397175187077033,2.754,0.833,0.936,0.985
2000000,2.661,4.93397192938914,2.582,0.855,0.771,0.956
2250000,2.881,4.650251498575104,2.58,0.861,0.737,0.982
2500000,2.847,4.61233032208232,2.69,0.831,0.927,0.932
2750000,3.371,4.650307409193504,2.645,0.8,0.86,0.985
3000000,3.258,5.023488429368579,2.837,0.78,1.057,1.0
3250000,2.486,5.812211627255154,2.837,0.872,0.969,0.996
3500000,3.303,4.442205645847567,2.772,0.797,0.975,1.0
3750000,3.137,4.478864923169708,2.668,0.83,0.838,1.0
4000000,3.219,4.67515122750056,2.657,0.81,0.877,0.97
4250000,3.534,4.634958899494147,2.555,0.797,0.758,1.0
4500000,3.202,4.551175232838217,2.674,0.821,0.863,0.99
4750000,3.437,4.414071929635946,2.679,0.802,0.877,1.0
5000000,3.068,4.9152188150681555,2.501,0.814,0.709,0.978
