Timesteps,Mean Reward,Std Reward,ConditionalVeganMonitor.ConditionalVegan,HungryMonitor.Hungr,HungryVeganMonitor.Hungr,HungryVeganMonitor.VegetarianBlue,HungryVeganMonitor.VegetarianOrange,HungryVeganPenaltyMonitor.CTD Violations,HungryVeganPenaltyMonitor.Hungr,HungryVeganPenaltyMonitor.VegetarianBlue,HungryVeganPenaltyMonitor.VegetarianOrange,HungryVegetarianMonitor.Hungr,HungryVegetarianMonitor.VegetarianOrange,PenaltyMonitor.CTD,PenaltyMonitor.Penalty(total),VeganMonitor.Vegan,VeganPreferenceMonitor.VegetarianBlue,VeganPreferenceMonitor.VegetarianOrange,VegetarianBlueMonitor.VegetarianBlue,VegetarianOrangeMonitor.VegetarianOrange
0,-5.42861,0.6751661779887971,0.007,0.98,0.98,0.001,0.006,0.007,0.98,0.001,0.006,0.98,0.006,0.0,0.007,0.007,0.001,0.006,0.001,0.006
250000,11.7878,5.331288020731951,1.019,0.832,0.832,1.174,1.105,2.222,0.832,1.174,1.105,0.832,1.105,2.191,4.47,2.279,1.174,1.105,1.174,1.105
500000,13.32859,4.384231096999792,1.267,0.888,0.888,1.295,1.32,2.558,0.888,1.295,1.32,0.888,1.32,2.474,5.089,2.615,1.295,1.32,1.295,1.32
750000,14.35704,4.452479605613034,1.562,0.695,0.695,1.549,1.521,2.987,0.695,1.549,1.521,0.695,1.521,2.935,6.005,3.07,1.549,1.521,1.549,1.521
1000000,14.60559,4.426555506474532,1.663,0.765,0.765,1.618,1.553,3.086,0.765,1.618,1.553,0.765,1.553,3.043,6.214,3.171,1.618,1.553,1.618,1.553
1250000,14.11482,4.956357106545089,1.628,0.65,0.65,1.577,1.584,3.074,0.65,1.577,1.584,0.65,1.584,3.006,6.167,3.161,1.577,1.584,1.577,1.584
1500000,14.877690000000001,4.605795909926969,1.621,0.677,0.677,1.601,1.612,3.134,0.677,1.601,1.612,0.677,1.612,3.103,6.316,3.213,1.601,1.612,1.601,1.612
1750000,15.07356,4.207060675388459,1.633,0.709,0.709,1.595,1.613,3.136,0.709,1.595,1.613,0.709,1.613,3.087,6.295,3.208,1.595,1.613,1.595,1.613
2000000,15.30667,3.8763602530079684,1.623,0.689,0.689,1.625,1.662,3.212,0.689,1.625,1.662,0.689,1.662,3.156,6.443,3.287,1.625,1.662,1.625,1.662
2250000,15.008099999999999,4.268702213788168,1.784,0.678,0.678,1.693,1.644,3.272,0.678,1.693,1.644,0.678,1.644,3.17,6.507,3.337,1.693,1.644,1.693,1.644
2500000,14.641639999999999,4.834192353475397,1.69,0.712,0.712,1.689,1.702,3.324,0.712,1.689,1.702,0.712,1.702,3.229,6.62,3.391,1.689,1.702,1.689,1.702
2750000,14.99996,4.481309674459019,1.766,0.657,0.657,1.747,1.757,3.423,0.657,1.747,1.757,0.657,1.757,3.331,6.835,3.504,1.747,1.757,1.747,1.757
3000000,14.68705,5.132276219914512,1.722,0.706,0.706,1.662,1.718,3.298,0.706,1.662,1.718,0.706,1.718,3.205,6.585,3.38,1.662,1.718,1.662,1.718
3250000,14.951709999999999,4.732526045982209,1.688,0.666,0.666,1.705,1.67,3.303,0.666,1.705,1.67,0.666,1.67,3.134,6.509,3.375,1.705,1.67,1.705,1.67
3500000,14.924689999999998,5.043528675828066,1.794,0.649,0.649,1.784,1.767,3.471,0.649,1.784,1.767,0.649,1.767,3.366,6.917,3.551,1.784,1.767,1.784,1.767
3750000,14.70197,5.379360112420436,1.646,0.647,0.647,1.724,1.744,3.389,0.647,1.724,1.744,0.647,1.744,3.272,6.74,3.468,1.724,1.744,1.724,1.744
4000000,14.483360000000001,5.005509335761946,1.806,0.689,0.689,1.726,1.707,3.363,0.689,1.726,1.707,0.689,1.707,3.198,6.631,3.433,1.726,1.707,1.726,1.707
4250000,14.212489999999997,5.589283344034367,1.705,0.647,0.647,1.708,1.743,3.371,0.647,1.708,1.743,0.647,1.743,3.236,6.687,3.451,1.708,1.743,1.708,1.743
4500000,15.170440000000001,4.446353495438706,1.715,0.679,0.679,1.718,1.757,3.406,0.679,1.718,1.757,0.679,1.757,3.336,6.811,3.475,1.718,1.757,1.718,1.757
4750000,15.138459999999998,4.8078789323775615,1.723,0.675,0.675,1.782,1.772,3.462,0.675,1.782,1.772,0.675,1.772,3.355,6.909,3.554,1.782,1.772,1.782,1.772
5000000,15.35903,4.152394942572299,1.782,0.729,0.729,1.783,1.779,3.484,0.729,1.783,1.779,0.729,1.779,3.347,6.909,3.562,1.783,1.779,1.783,1.779
