Timesteps,Mean Reward,Std Reward,score,steps,CollectOneMonitor.CollectOne,CollectPermMonitor.CollectPerm,DrainMonitor.Drain,NoCollectMonitor.NoCollect,RescueMonitor.Rescue
0,-1069.972,99.895853847895,23.95,995.82,0.74,0.0,0.05,0.3,0.05
5000,-1075.16,71.2301509193965,23.2,1000.0,0.72,0.0,0.01,0.34,0.01
10000,44.637,134.8189984052693,137.85,934.43,0.54,0.05,0.46,0.56,0.4
15000,153.89399999999998,147.89532367184572,216.95,640.96,0.71,0.12,0.26,0.38,0.22
20000,199.621,113.88167481645148,255.7,562.89,0.53,0.1,0.56,0.58,0.4
25000,255.65099999999998,59.474001874768774,292.05,346.09,0.35,0.27,0.78,0.89,0.46
30000,266.909,43.919246566852664,295.6,291.81,0.33,0.14,0.8,0.87,0.58
35000,273.971,14.285953205859242,300.0,241.89,0.29,0.24,0.94,1.0,0.71
40000,277.5519999999999,7.078763733873311,300.0,232.18,0.27,0.27,1.19,1.0,0.88
45000,278.205,4.616890187128127,300.0,228.85,0.26,0.21,0.92,1.0,0.72
50000,279.08700000000005,4.00049134482253,300.0,225.03,0.32,0.26,0.92,0.93,0.71
55000,278.774,5.107790520371797,300.0,224.16,0.39,0.19,0.91,0.9,0.62
60000,279.407,4.306071411391132,300.0,220.13,0.38,0.22,0.81,0.87,0.63
65000,279.189,4.216275489101727,300.0,220.51,0.29,0.18,0.8,0.98,0.53
70000,279.016,4.261542443763761,300.0,220.64,0.24,0.25,1.1,1.06,0.72
75000,278.388,4.498205864564226,300.0,224.62,0.36,0.14,0.76,0.9,0.57
80000,278.542,4.717821107248557,300.0,222.98,0.28,0.22,1.0,0.94,0.71
85000,279.501,4.023195123281992,300.0,223.79,0.27,0.2,0.85,1.09,0.55
90000,279.647,3.927988161896624,300.0,220.03,0.31,0.2,0.73,0.96,0.55
95000,279.647,3.970149997166355,300.0,221.53,0.18,0.25,0.86,1.11,0.53
100000,279.722,4.530332879601676,300.0,224.28,0.24,0.28,0.95,1.08,0.72
