Timesteps,Mean Reward,Std Reward,Death,Timeout,UnloadDanger,UnloadMarket,DangerMonitor.Danger,DeliveryMonitor.Delivery,EnvFriendlyMonitor.EnvFriendly,EvolvingMonitor.Evolving,PacifistMonitor.CTD,PacifistMonitor.Danger,PacifistMonitor.Pacifist(total)
0,68.15,180.41085748923203,0.462,0.219,0.939,0.319,3.36,2.797,0.481,0.576,1.488,3.36,4.848
250000,337.5,64.9519052838329,0.0,0.0,0.75,1.0,0.75,0.0,1.0,2.0,0.0,0.75,0.75
500000,509.4,119.54764740470637,0.0,0.0,1.274,1.0,1.274,0.736,1.396,2.396,0.0,1.274,1.274
750000,725.1,55.81209546325958,0.0,0.0,0.934,1.0,0.934,0.934,2.768,3.768,0.0,0.934,0.934
1000000,720.45,59.65984830688057,0.0,0.0,0.939,1.0,0.939,0.939,2.742,3.742,0.0,0.939,0.939
1250000,739.35,38.52372645526391,0.0,0.0,0.929,1.0,0.929,0.929,2.858,3.598,0.0,0.929,0.929
1500000,722.85,57.7527272083319,0.0,0.0,0.933,1.0,0.933,0.933,2.752,3.752,0.0,0.933,0.933
1750000,724.2,56.607066696659004,0.0,0.0,0.93,1.0,0.93,0.93,2.758,3.758,0.0,0.93,0.93
2000000,495.8,364.95528493227766,0.327,0.0,0.0,0.673,1.716,0.62,1.346,2.167,1.062,1.716,2.778
2250000,750.0,0.0,0.0,0.0,0.94,1.0,0.94,1.0,2.94,3.703,0.0,0.94,0.94
2500000,720.9,59.314332163483044,0.0,0.0,0.936,1.0,0.936,0.936,2.742,3.742,0.0,0.936,0.936
2750000,719.1,60.66456956082355,0.0,0.0,0.935,1.0,0.935,0.935,2.729,3.729,0.0,0.935,0.935
3000000,722.25,58.24463494606177,0.0,0.0,0.937,1.0,0.937,0.937,2.752,3.752,0.0,0.937,0.937
3250000,750.0,0.0,0.0,0.0,0.947,1.0,0.947,1.0,2.947,3.701,0.0,0.947,0.947
3500000,686.0,210.4851538707659,0.085,0.0,0.744,0.915,1.198,0.915,2.574,3.318,0.284,1.198,1.482
3750000,642.6,67.64052040012702,0.0,0.0,1.657,1.0,1.657,1.0,2.225,2.963,0.0,1.657,1.657
4000000,537.9,136.54153214315417,0.0,0.0,1.646,1.0,1.646,1.0,2.232,2.982,0.0,1.646,1.646
4250000,750.0,0.0,0.0,0.0,0.935,1.0,0.935,1.0,2.935,3.683,0.0,0.935,0.935
4500000,750.0,0.0,0.0,0.0,0.951,1.0,0.951,1.0,2.951,3.707,0.0,0.951,0.951
4750000,750.0,0.0,0.0,0.0,0.926,1.0,0.926,1.0,2.926,3.643,0.0,0.926,0.926
5000000,750.0,0.0,0.0,0.0,0.941,1.0,0.941,1.0,2.941,3.698,0.0,0.941,0.941
