Timesteps,Mean Reward,Std Reward,EmergencyMonitor.Emergency Violations,EmergencyMonitor.Safety Violations,EmergencyMonitor.Stay Violations,EmergencyMonitor.Warn Violations
0,-96.908,25.514731744621578,6.309,2.547,2.889,0.873
250000,-48.544,7.658985833646645,5.787,2.666,2.311,0.81
500000,-13.714,20.386078681296215,3.99,1.508,1.715,0.767
750000,-0.328,8.790700540912539,2.936,0.987,0.977,0.972
1000000,2.417,4.918852610111427,2.736,0.867,0.89,0.979
1250000,2.644,5.211646956577162,2.761,0.852,0.958,0.951
1500000,2.073,5.345060429967093,2.744,0.914,0.921,0.909
1750000,3.24,4.491146846853262,2.394,0.843,0.566,0.985
2000000,3.291,4.696202614879388,2.372,0.84,0.532,1.0
2250000,2.877,4.800194891876787,2.46,0.843,0.617,1.0
2500000,3.502,4.479285210834425,2.483,0.782,0.715,0.986
2750000,2.763,5.0379391619986835,2.469,0.841,0.666,0.962
3000000,3.367,4.262664776873733,2.502,0.835,0.667,1.0
3250000,1.542,7.565727724416205,2.721,0.883,0.846,0.992
3500000,3.366,4.62363969184451,2.466,0.811,0.664,0.991
3750000,3.489,4.393162755919703,2.469,0.815,0.654,1.0
4000000,3.011,5.391556268833702,2.592,0.81,0.795,0.987
4250000,3.561,4.4398512362465485,2.632,0.802,0.85,0.98
4500000,2.473,5.3185779114345975,2.671,0.861,0.81,1.0
4750000,3.297,4.410078343975308,2.653,0.834,0.832,0.987
5000000,1.991,6.850176567067451,2.641,0.853,0.846,0.942
