Timesteps,Mean Reward,Std Reward,Death,Timeout,UnloadDanger,UnloadMarket,DangerMonitor.Danger,DeliveryMonitor.Delivery,EnvFriendlyMonitor.EnvFriendly,EvolvingMonitor.Evolving,PacifistMonitor.CTD,PacifistMonitor.Danger,PacifistMonitor.Pacifist(total)
0,72.45,183.38074462712814,0.477,0.211,0.865,0.312,3.322,2.775,0.539,0.629,1.499,3.322,4.821
250000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0
500000,600.15,153.0440377799802,0.052,0.0,1.295,0.948,1.547,0.887,1.896,2.896,0.148,1.547,1.695
750000,610.05,37.50329985481278,0.0,0.0,1.479,1.0,1.479,0.933,2.0,3.0,0.0,1.479,1.479
1000000,540.9,123.03328817844381,0.0,0.0,1.56,1.0,1.56,0.949,2.166,3.166,0.0,1.56,1.56
1250000,554.55,126.85344890857324,0.0,0.0,1.488,1.0,1.488,0.933,2.185,3.185,0.0,1.488,1.488
1500000,637.2,64.77777396607574,0.0,0.0,1.522,1.0,1.522,0.944,2.192,3.192,0.0,1.522,1.522
1750000,633.45,236.85142494821517,0.116,0.0,0.929,0.884,1.587,0.813,2.5,3.5,0.426,1.587,2.013
2000000,720.45,59.65984830688057,0.0,0.0,0.945,1.0,0.945,0.945,2.748,3.748,0.0,0.945,0.945
2250000,520.2,127.0116530086905,0.0,0.0,1.497,1.0,1.497,1.0,2.159,2.428,0.0,1.497,1.497
2500000,750.0,0.0,0.0,0.0,0.947,1.0,0.947,1.0,2.947,3.684,0.0,0.947,0.947
2750000,719.4,60.44534721548053,0.0,0.0,0.941,1.0,0.941,0.941,2.737,3.737,0.0,0.941,0.941
3000000,750.0,0.0,0.0,0.0,0.946,1.0,0.946,1.0,2.946,3.703,0.0,0.946,0.946
3250000,720.6,59.545276890782866,0.0,0.0,0.937,1.0,0.937,0.937,2.741,3.741,0.0,0.937,0.937
3500000,627.15,254.4806033865843,0.189,0.0,0.924,0.811,1.807,1.0,2.735,3.475,0.505,1.807,2.312
3750000,721.05,59.1979518226771,0.0,0.0,0.93,1.0,0.93,0.93,2.737,3.737,0.0,0.93,0.93
4000000,750.0,0.0,0.0,0.0,0.929,1.0,0.929,1.0,2.929,3.684,0.0,0.929,0.929
4250000,750.0,0.0,0.0,0.0,0.939,1.0,0.939,1.0,2.939,3.682,0.0,0.939,0.939
4500000,722.7,57.87667924129718,0.0,0.0,0.939,1.0,0.939,0.939,2.757,3.757,0.0,0.939,0.939
4750000,750.0,0.0,0.0,0.0,0.736,1.0,0.736,1.0,2.736,3.472,0.0,0.736,0.736
5000000,750.0,0.0,0.0,0.0,0.755,1.0,0.755,1.0,2.755,3.51,0.0,0.755,0.755
