Timesteps,Mean Reward,Std Reward,Death,Timeout,UnloadDanger,UnloadMarket,DangerMonitor.Danger,DeliveryMonitor.Delivery,EnvFriendlyMonitor.EnvFriendly,EvolvingMonitor.Evolving,PacifistMonitor.CTD,PacifistMonitor.Danger,PacifistMonitor.Pacifist(total)
0,69.7,181.54038118281014,0.488,0.198,0.843,0.314,3.22,2.736,0.494,0.589,1.39,3.22,4.61
250000,50.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
500000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0
750000,569.25,262.94854534680354,0.141,0.0,0.75,0.859,1.47,0.609,2.218,3.218,0.438,1.47,1.908
1000000,721.05,59.1979518226771,0.0,0.0,0.938,1.0,0.938,0.938,2.745,3.745,0.0,0.938,0.938
1250000,712.9,156.82343574861505,0.053,0.0,0.737,0.947,0.97,0.947,2.684,3.684,0.127,0.97,1.097
1500000,740.25,36.97887910686315,0.0,0.0,0.935,1.0,0.935,0.935,2.87,3.62,0.0,0.935,0.935
1750000,742.05,33.6050219461318,0.0,0.0,0.947,1.0,0.947,0.947,2.894,3.662,0.0,0.947,0.947
2000000,642.15,67.42312288821988,0.0,0.0,1.468,1.0,1.468,0.927,2.208,3.208,0.0,1.468,1.468
2250000,740.85,35.89954735090681,0.0,0.0,0.939,1.0,0.939,0.939,2.878,3.629,0.0,0.939,0.939
2500000,723.15,57.50284775556772,0.0,0.0,0.935,1.0,0.935,0.935,2.756,3.756,0.0,0.935,0.935
2750000,741.3,35.061517365909886,0.0,0.0,0.942,1.0,0.942,0.942,2.884,3.641,0.0,0.942,0.942
3000000,740.4,36.71294049786805,0.0,0.0,0.936,1.0,0.936,0.936,2.872,3.626,0.0,0.936,0.936
3250000,740.4,36.712940497868054,0.0,0.0,0.936,1.0,0.936,0.936,2.872,3.611,0.0,0.936,0.936
3500000,741.45,34.77639285492388,0.0,0.0,0.943,1.0,0.943,0.943,2.886,3.654,0.0,0.943,0.943
3750000,575.55,323.9362553034161,0.21,0.0,0.957,0.79,1.904,0.747,2.284,3.052,0.527,1.904,2.431
4000000,636.3,64.24414370197489,0.0,0.0,1.513,1.0,1.513,0.939,2.181,3.181,0.0,1.513,1.513
4250000,510.1,272.2370107094185,0.184,0.0,0.618,0.816,1.552,0.75,1.632,2.448,0.566,1.552,2.118
4500000,740.9,79.29180285502406,0.013,0.0,0.931,0.987,0.996,0.987,2.905,3.658,0.039,0.996,1.035
4750000,750.0,0.0,0.0,0.0,0.941,1.0,0.941,1.0,2.941,3.704,0.0,0.941,0.941
5000000,750.0,0.0,0.0,0.0,0.927,1.0,0.927,0.241,2.927,3.686,0.0,0.927,0.927
