Timesteps,Mean Reward,Std Reward,Death,Timeout,UnloadDanger,UnloadMarket,DangerMonitor.Danger,DeliveryMonitor.Delivery,EnvFriendlyMonitor.EnvFriendly,EvolvingMonitor.Evolving,PacifistMonitor.CTD,PacifistMonitor.Danger,PacifistMonitor.Pacifist(total)
0,83.0,197.7017956418201,0.469,0.21,0.847,0.321,3.207,2.684,0.555,0.662,1.408,3.207,4.615
250000,50.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0
500000,522.0,128.12493902437572,0.0,0.0,1.514,1.0,1.514,1.0,2.198,2.198,0.0,1.514,1.514
750000,476.25,56.99506557588999,0.0,0.0,1.329,1.0,1.329,0.752,1.175,2.175,0.0,1.329,1.329
1000000,609.15,35.89954735090681,0.0,0.0,1.495,1.0,1.495,0.939,2.0,3.0,0.0,1.495,1.495
1250000,603.6,130.77476820855009,0.051,0.0,1.517,0.949,1.718,0.938,2.132,3.132,0.099,1.718,1.817
1500000,637.35,64.86507149460331,0.0,0.0,1.497,1.0,1.497,0.936,2.185,3.185,0.0,1.497,1.497
1750000,637.5,64.9519052838329,0.0,0.0,1.505,1.0,1.505,0.942,2.192,3.192,0.0,1.505,1.505
2000000,633.75,62.63734908183775,0.0,0.0,1.649,1.0,1.649,0.937,2.162,2.901,0.0,1.649,1.649
2250000,633.75,62.63734908183775,0.0,0.0,1.649,1.0,1.649,0.937,2.162,2.894,0.0,1.649,1.649
2500000,632.85,62.03529237458304,0.0,0.0,1.527,1.0,1.527,0.952,2.171,3.171,0.0,1.527,1.527
2750000,634.65,63.22086285396617,0.0,0.0,1.639,1.0,1.639,1.0,2.166,2.166,0.0,1.639,1.639
3000000,618.15,171.44409438647924,0.06,0.0,1.322,0.94,1.574,0.875,2.044,3.044,0.132,1.574,1.706
3250000,721.2,59.08096140043762,0.0,0.0,0.943,1.0,0.943,0.192,2.751,3.751,0.0,0.943,0.943
3500000,742.05,33.60502194613179,0.0,0.0,0.947,1.0,0.947,0.947,2.894,3.651,0.0,0.947,0.947
3750000,682.25,177.68634584570646,0.05,0.0,0.765,0.95,0.998,0.765,2.48,3.245,0.133,0.998,1.131
4000000,719.7,60.2238324917968,0.0,0.0,0.936,1.0,0.936,0.936,2.734,3.734,0.0,0.936,0.936
4250000,739.5,38.27205246651922,0.0,0.0,0.93,1.0,0.93,0.93,2.86,3.603,0.0,0.93,0.93
4500000,738.75,39.50870157319777,0.0,0.0,0.925,1.0,0.925,0.925,2.85,3.564,0.0,0.925,0.925
4750000,627.15,163.5095639404619,0.052,0.0,1.309,0.948,1.553,0.89,2.087,3.087,0.14,1.553,1.693
5000000,608.55,281.974107853895,0.174,0.0,0.927,0.826,1.794,0.753,2.506,3.243,0.519,1.794,2.313
