Timesteps,Mean Reward,Std Reward,ConditionalVeganMonitor.ConditionalVegan,HungryMonitor.Hungr,HungryVeganMonitor.Hungr,HungryVeganMonitor.VegetarianBlue,HungryVeganMonitor.VegetarianOrange,HungryVeganPenaltyMonitor.CTD Violations,HungryVeganPenaltyMonitor.Hungr,HungryVeganPenaltyMonitor.VegetarianBlue,HungryVeganPenaltyMonitor.VegetarianOrange,HungryVegetarianMonitor.Hungr,HungryVegetarianMonitor.VegetarianOrange,PenaltyMonitor.CTD,PenaltyMonitor.Penalty(total),VeganMonitor.Vegan,VeganPreferenceMonitor.VegetarianBlue,VeganPreferenceMonitor.VegetarianOrange,VegetarianBlueMonitor.VegetarianBlue,VegetarianOrangeMonitor.VegetarianOrange
0,-5.62089,0.49666055601386344,0.0,0.996,0.996,0.0,0.0,0.0,0.996,0.0,0.0,0.996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250000,8.813259999999998,5.906040058482502,1.057,0.783,0.783,1.173,1.182,2.296,0.783,1.173,1.182,0.783,1.182,2.247,4.602,2.355,1.173,1.182,1.173,1.182
500000,12.02366,5.87408380978685,1.268,0.91,0.91,1.412,1.446,2.775,0.91,1.412,1.446,0.91,1.446,2.686,5.544,2.858,1.412,1.446,1.412,1.446
750000,13.10517,5.974801483823542,1.435,0.852,0.852,1.533,1.608,3.062,0.852,1.533,1.608,0.852,1.608,2.971,6.112,3.141,1.533,1.608,1.533,1.608
1000000,13.7328,5.548231642604696,1.652,0.676,0.676,1.707,1.684,3.294,0.676,1.707,1.684,0.676,1.684,3.217,6.608,3.391,1.707,1.684,1.707,1.684
1250000,14.815520000000001,4.388308527166248,1.684,0.659,0.659,1.79,1.747,3.456,0.659,1.79,1.747,0.659,1.747,3.41,6.947,3.537,1.79,1.747,1.79,1.747
1500000,14.320530000000002,5.2224226197331065,1.782,0.66,0.66,1.778,1.782,3.485,0.66,1.778,1.782,0.66,1.782,3.374,6.934,3.56,1.778,1.782,1.778,1.782
1750000,14.388959999999999,5.1955169057948405,1.761,0.84,0.84,1.767,1.78,3.457,0.84,1.767,1.78,0.84,1.78,3.309,6.856,3.547,1.767,1.78,1.767,1.78
2000000,13.892149999999999,5.849631020628566,1.751,0.699,0.699,1.804,1.745,3.436,0.699,1.804,1.745,0.699,1.745,3.329,6.878,3.549,1.804,1.745,1.804,1.745
2250000,14.70741,5.19950443714591,1.742,0.701,0.701,1.794,1.821,3.534,0.701,1.794,1.821,0.701,1.821,3.415,7.03,3.615,1.794,1.821,1.794,1.821
2500000,14.30941,5.064567439762255,1.788,0.798,0.798,1.756,1.755,3.43,0.798,1.756,1.755,0.798,1.755,3.343,6.854,3.511,1.756,1.755,1.756,1.755
2750000,14.66233,4.725219515652157,1.834,0.863,0.863,1.813,1.772,3.506,0.863,1.813,1.772,0.863,1.772,3.399,6.984,3.585,1.813,1.772,1.813,1.772
3000000,14.82579,4.787978109379782,1.719,0.872,0.872,1.766,1.818,3.499,0.872,1.766,1.818,0.872,1.818,3.366,6.95,3.584,1.766,1.818,1.766,1.818
3250000,14.480310000000001,5.0979981761373745,1.715,0.742,0.742,1.753,1.819,3.472,0.742,1.753,1.819,0.742,1.819,3.389,6.961,3.572,1.753,1.819,1.753,1.819
3500000,15.01662,4.693815865114438,1.81,0.689,0.689,1.835,1.791,3.528,0.689,1.835,1.791,0.689,1.791,3.426,7.052,3.626,1.835,1.791,1.835,1.791
3750000,14.35125,5.22229581099156,1.809,0.708,0.708,1.813,1.791,3.524,0.708,1.813,1.791,0.708,1.791,3.428,7.032,3.604,1.813,1.791,1.813,1.791
4000000,14.33892,5.397813301106291,1.793,0.679,0.679,1.825,1.799,3.522,0.679,1.825,1.799,0.679,1.799,3.285,6.909,3.624,1.825,1.799,1.825,1.799
4250000,14.814729999999999,4.802359683228652,1.829,0.664,0.664,1.833,1.857,3.595,0.664,1.833,1.857,0.664,1.857,3.425,7.115,3.69,1.833,1.857,1.833,1.857
4500000,14.49286,5.324973729550222,1.76,0.704,0.704,1.822,1.817,3.554,0.704,1.822,1.817,0.704,1.817,3.349,6.988,3.639,1.822,1.817,1.822,1.817
4750000,14.11101,5.716691795076939,1.743,0.579,0.579,1.807,1.791,3.522,0.579,1.807,1.791,0.579,1.791,3.394,6.992,3.598,1.807,1.791,1.807,1.791
5000000,14.614450000000001,5.094565015533711,1.864,0.702,0.702,1.828,1.783,3.534,0.702,1.828,1.783,0.702,1.783,3.396,7.007,3.611,1.828,1.783,1.828,1.783
