Timesteps,Mean Reward,Std Reward,ConditionalVeganMonitor.ConditionalVegan,HungryMonitor.Hungr,HungryVeganMonitor.Hungr,HungryVeganMonitor.VegetarianBlue,HungryVeganMonitor.VegetarianOrange,HungryVeganPenaltyMonitor.CTD Violations,HungryVeganPenaltyMonitor.Hungr,HungryVeganPenaltyMonitor.VegetarianBlue,HungryVeganPenaltyMonitor.VegetarianOrange,HungryVegetarianMonitor.Hungr,HungryVegetarianMonitor.VegetarianOrange,PenaltyMonitor.CTD,PenaltyMonitor.Penalty(total),VeganMonitor.Vegan,VeganPreferenceMonitor.VegetarianBlue,VeganPreferenceMonitor.VegetarianOrange,VegetarianBlueMonitor.VegetarianBlue,VegetarianOrangeMonitor.VegetarianOrange
0,-5.624880000000001,0.46867663223164857,0.0,0.999,0.999,0.0,0.0,0.0,0.999,0.0,0.0,0.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250000,7.008430000000001,6.006900185212003,0.831,0.832,0.832,0.976,0.848,1.8,0.832,0.976,0.848,0.832,0.848,1.775,3.599,1.824,0.976,0.848,0.976,0.848
500000,12.113150000000001,5.543701036085911,1.511,0.715,0.715,1.444,1.441,2.831,0.715,1.444,1.441,0.715,1.441,2.775,5.66,2.885,1.444,1.441,1.444,1.441
750000,14.34027,4.9325395514988015,1.716,0.708,0.708,1.783,1.666,3.35,0.708,1.783,1.666,0.708,1.666,3.282,6.731,3.449,1.783,1.666,1.783,1.666
1000000,14.22536,5.270689126708195,1.698,0.618,0.618,1.779,1.748,3.447,0.618,1.779,1.748,0.618,1.748,3.352,6.879,3.527,1.779,1.748,1.779,1.748
1250000,14.730690000000001,4.82528828401993,1.796,0.691,0.691,1.824,1.764,3.497,0.691,1.824,1.764,0.691,1.764,3.431,7.019,3.588,1.824,1.764,1.824,1.764
1500000,14.827259999999999,5.032155789758501,1.779,0.706,0.706,1.84,1.786,3.526,0.706,1.84,1.786,0.706,1.786,3.452,7.078,3.626,1.84,1.786,1.84,1.786
1750000,14.49333,5.634030583081707,1.75,0.698,0.698,1.829,1.757,3.486,0.698,1.829,1.757,0.698,1.757,3.394,6.98,3.586,1.829,1.757,1.829,1.757
2000000,14.5785,5.527183419247095,1.794,0.673,0.673,1.825,1.786,3.528,0.673,1.825,1.786,0.673,1.786,3.388,6.999,3.611,1.825,1.786,1.825,1.786
2250000,14.78598,5.2413255613060326,1.784,0.671,0.671,1.811,1.827,3.543,0.671,1.811,1.827,0.671,1.827,3.447,7.085,3.638,1.811,1.827,1.811,1.827
2500000,14.83913,4.801665413489365,1.834,0.645,0.645,1.797,1.845,3.571,0.645,1.797,1.845,0.645,1.845,3.446,7.088,3.642,1.797,1.845,1.797,1.845
2750000,14.58947,5.203360723522827,1.758,0.647,0.647,1.805,1.816,3.525,0.647,1.805,1.816,0.647,1.816,3.366,6.987,3.621,1.805,1.816,1.805,1.816
3000000,14.59475,5.277505238036245,1.802,0.675,0.675,1.832,1.799,3.539,0.675,1.832,1.799,0.675,1.799,3.372,7.003,3.631,1.832,1.799,1.832,1.799
3250000,14.278619999999998,5.879900585520133,1.748,0.67,0.67,1.803,1.809,3.524,0.67,1.803,1.809,0.67,1.809,3.389,7.001,3.612,1.803,1.809,1.803,1.809
3500000,14.12305,5.640355219088599,1.794,0.632,0.632,1.785,1.768,3.469,0.632,1.785,1.768,0.632,1.768,3.308,6.861,3.553,1.785,1.768,1.785,1.768
3750000,14.730360000000001,5.190902972547262,1.73,0.684,0.684,1.804,1.785,3.512,0.684,1.804,1.785,0.684,1.785,3.369,6.958,3.589,1.804,1.785,1.804,1.785
4000000,14.76542,4.854109972343025,1.732,0.706,0.706,1.822,1.767,3.503,0.706,1.822,1.767,0.706,1.767,3.359,6.948,3.589,1.822,1.767,1.822,1.767
4250000,14.97345,4.768096684999162,1.881,0.694,0.694,1.862,1.877,3.652,0.694,1.862,1.877,0.694,1.877,3.523,7.262,3.739,1.862,1.877,1.862,1.877
4500000,14.98931,4.846368849344837,1.793,0.65,0.65,1.849,1.822,3.587,0.65,1.849,1.822,0.65,1.822,3.453,7.124,3.671,1.849,1.822,1.849,1.822
4750000,14.51949,5.243192752503002,1.79,0.685,0.685,1.796,1.858,3.583,0.685,1.796,1.858,0.685,1.858,3.396,7.05,3.654,1.796,1.858,1.796,1.858
5000000,14.44536,5.637075772987267,1.822,0.682,0.682,1.817,1.842,3.575,0.682,1.817,1.842,0.682,1.842,3.412,7.071,3.659,1.817,1.842,1.817,1.842
