Timesteps,Mean Reward,Std Reward,score,steps,CollectOneMonitor.CollectOne,CollectPermMonitor.CollectPerm,DrainMonitor.Drain,NoCollectMonitor.NoCollect,RescueMonitor.Rescue
0,-729.88,478.6167209782792,38.55,1000.0,0.76,0.0,0.45,0.29,0.44
5000,-816.956,445.1448333565155,55.4,990.66,0.77,0.0,0.02,0.26,0.02
10000,70.78099999999999,135.74327658856626,163.25,924.79,0.67,0.01,0.45,0.39,0.43
15000,137.04500000000002,141.0597719940026,208.45,718.85,0.52,0.1,0.46,0.61,0.34
20000,216.43600000000006,104.80669589296286,266.7,513.64,0.61,0.08,0.51,0.53,0.41
25000,260.994,58.27698828868905,292.1,330.06,0.32,0.2,0.59,0.91,0.42
30000,253.108,69.31730185170223,287.9,357.42,0.42,0.2,0.72,0.87,0.52
35000,271.04200000000003,25.917643334223115,298.15,289.58,0.34,0.26,1.01,0.92,0.9
40000,273.601,37.06483912011489,297.1,254.49,0.27,0.21,0.88,1.06,0.59
45000,278.09900000000005,7.251751443616914,300.0,230.71,0.25,0.21,0.96,1.08,0.68
50000,279.307,4.409155361290867,300.0,223.93,0.33,0.15,0.98,0.91,0.64
55000,279.684,4.320664763667739,300.0,222.56,0.36,0.2,0.85,0.86,0.57
60000,278.971,5.009776342313099,300.0,223.99,0.29,0.24,0.99,1.08,0.64
65000,279.34,4.025245334138033,300.0,224.1,0.29,0.16,0.79,0.97,0.57
70000,279.323,4.292967621587658,300.0,230.27,0.36,0.22,0.84,0.86,0.6
75000,279.143,3.9854800212772363,300.0,225.07,0.29,0.19,0.94,0.94,0.62
80000,279.33099999999996,4.1565296823191344,300.0,226.19,0.4,0.25,0.85,0.92,0.6
85000,277.351,6.625352745326096,300.0,224.49,0.28,0.16,1.0,0.91,0.81
90000,279.177,4.552534568786931,300.0,217.23,0.28,0.27,0.95,1.08,0.64
95000,279.393,4.2457097168789115,300.0,219.37,0.22,0.31,1.04,1.08,0.71
100000,279.291,4.443761807297955,300.0,224.09,0.25,0.24,0.92,1.13,0.63
