Timesteps,Mean Reward,Std Reward,EmergencyMonitor.Emergency Violations,EmergencyMonitor.Safety Violations,EmergencyMonitor.Stay Violations,EmergencyMonitor.Warn Violations
0,-95.564,24.08659178879403,6.212,2.513,2.844,0.855
250000,-48.829,7.103221733833177,6.288,2.594,2.907,0.787
500000,-13.184,20.346010518035225,3.496,1.523,1.186,0.787
750000,0.969,7.845128360963892,2.602,0.961,0.683,0.958
1000000,0.156,8.638267418875152,2.916,0.966,1.006,0.944
1250000,2.728,4.804999063475455,2.54,0.851,0.715,0.974
1500000,2.394,5.567294136292783,2.607,0.874,0.768,0.965
1750000,2.879,4.617613994261538,2.682,0.863,0.822,0.997
2000000,3.07,4.646622429249013,2.393,0.806,0.616,0.971
2250000,2.099,5.386575814002807,2.667,0.915,0.752,1.0
2500000,3.202,4.584887784886343,2.516,0.842,0.674,1.0
2750000,3.117,4.457276186192639,2.578,0.827,0.751,1.0
3000000,3.142,4.55541831229581,2.554,0.824,0.73,1.0
3250000,2.901,4.50324316465367,2.435,0.855,0.634,0.946
3500000,2.352,5.791208509456381,2.693,0.863,0.848,0.982
3750000,3.313,4.661011800027972,2.534,0.809,0.743,0.982
4000000,2.819,4.744284877618544,2.619,0.846,0.791,0.982
4250000,3.551,4.345733424866278,2.462,0.819,0.659,0.984
4500000,2.156,6.315193108686384,2.518,0.865,0.653,1.0
4750000,3.37,4.632180911838397,2.584,0.805,0.779,1.0
5000000,3.316,4.5747288444234595,2.633,0.803,0.832,0.998
