Timesteps,Mean Reward,Std Reward,score,steps,CollectOneMonitor.CollectOne,CollectPermMonitor.CollectPerm,DrainMonitor.Drain,NoCollectMonitor.NoCollect,RescueMonitor.Rescue
0,-1072.28,74.9949438295676,26.05,1000.0,0.69,0.0,0.03,0.38,0.02
5000,-1074.24,71.90717905744877,23.95,1000.0,0.7,0.0,0.03,0.37,0.03
10000,77.204,139.04977664131647,163.4,865.26,0.63,0.12,0.23,0.47,0.17
15000,245.95399999999998,86.32159685733345,280.4,358.46,0.47,0.21,0.66,0.7,0.53
20000,228.16299999999998,102.2452861064998,270.85,439.37,0.47,0.14,0.62,0.67,0.49
25000,245.46900000000002,87.75198196622114,279.45,357.31,0.39,0.21,0.74,0.86,0.56
30000,273.209,14.637930830551152,299.75,280.71,0.28,0.24,0.96,0.98,0.74
35000,278.55299999999994,5.760059982326574,300.0,229.07,0.27,0.18,0.85,1.03,0.54
40000,273.513,37.89502250955922,297.0,243.17,0.35,0.23,0.79,0.94,0.5
45000,279.70900000000006,4.073673894655781,300.0,221.91,0.24,0.26,1.0,1.02,0.68
50000,279.993,3.4636759374976194,300.0,220.07,0.3,0.16,0.9,0.97,0.55
55000,279.302,4.596737538733314,300.0,225.48,0.31,0.19,0.87,0.96,0.55
60000,276.54900000000004,27.15345464208928,298.1,236.01,0.25,0.18,1.0,1.01,0.67
65000,276.887,8.348468781758724,300.0,221.63,0.35,0.17,0.86,0.94,0.62
70000,277.527,7.004053897565323,300.0,225.03,0.35,0.24,0.95,0.95,0.76
75000,279.373,4.9875014786965215,300.0,222.77,0.23,0.28,0.93,1.09,0.57
80000,279.334,4.384705691377702,300.0,222.96,0.27,0.24,0.89,0.99,0.61
85000,279.971,3.929663980545921,300.0,220.29,0.26,0.3,0.93,1.03,0.54
90000,279.864,4.050938656657244,300.0,222.36,0.29,0.16,0.97,1.03,0.72
95000,279.6980000000001,3.8736024576613417,300.0,223.12,0.28,0.23,0.76,0.99,0.56
100000,279.331,4.095697620674652,300.0,224.29,0.26,0.22,1.03,1.13,0.64
