Timesteps,Mean Reward,Std Reward,score,steps,CollectOneMonitor.CollectOne,CollectPermMonitor.CollectPerm,DrainMonitor.Drain,NoCollectMonitor.NoCollect,RescueMonitor.Rescue
0,-1057.3,92.43467963919169,41.1,1000.0,0.68,0.0,0.08,0.4,0.08
5000,-1065.64,84.69929397580596,33.0,1000.0,0.69,0.0,0.17,0.36,0.18
10000,80.716,149.6229933666614,163.95,836.34,0.61,0.06,0.2,0.47,0.16
15000,195.915,123.47284590143695,249.55,549.85,0.54,0.14,0.44,0.62,0.27
20000,220.454,106.84969388819044,267.0,477.46,0.44,0.12,0.54,0.67,0.47
25000,253.59299999999996,77.51183039381795,285.65,343.57,0.36,0.24,0.84,0.89,0.62
30000,276.36499999999995,6.930474370488649,300.0,255.35,0.35,0.15,0.73,0.87,0.5
35000,276.126,19.58887245351299,298.9,250.24,0.35,0.16,0.8,0.86,0.63
40000,277.34200000000004,5.963676382903421,300.0,223.48,0.41,0.25,0.8,0.84,0.53
45000,278.907,3.935054129233803,300.0,227.43,0.29,0.17,0.99,1.0,0.68
50000,279.77299999999997,4.235583903076409,300.0,220.27,0.29,0.28,0.93,1.05,0.64
55000,279.24600000000004,4.394756421009022,300.0,222.94,0.22,0.29,1.02,1.1,0.64
60000,279.409,3.827377561725521,300.0,226.41,0.29,0.22,0.8,1.02,0.48
65000,277.877,4.678351312161152,300.0,221.43,0.33,0.25,0.88,0.99,0.61
70000,276.79,9.901580681891149,300.0,229.3,0.32,0.23,0.78,0.93,0.55
75000,278.306,7.648696882476125,300.0,220.04,0.26,0.26,1.21,1.09,0.8
80000,280.019,4.294407875365358,300.0,220.31,0.41,0.17,0.81,0.85,0.58
85000,280.05600000000004,4.0718870318318015,300.0,219.94,0.26,0.19,0.93,1.07,0.64
90000,280.185,4.062496153844333,300.0,220.55,0.27,0.22,0.85,1.02,0.5
95000,279.668,3.7746756152019243,300.0,223.82,0.21,0.22,1.0,1.1,0.67
100000,279.735,4.292327457219453,300.0,219.95,0.31,0.2,0.79,1.03,0.49
