Timesteps,Mean Reward,Std Reward,Death,Timeout,UnloadDanger,UnloadMarket,DangerMonitor.Danger,DeliveryMonitor.Delivery,EnvFriendlyMonitor.EnvFriendly,EvolvingMonitor.Evolving,PacifistMonitor.CTD,PacifistMonitor.Danger,PacifistMonitor.Pacifist(total)
0,73.05,190.68612298748957,0.476,0.217,0.882,0.307,3.268,2.748,0.561,0.673,1.429,3.268,4.697
250000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0
500000,500.4,112.15988587726007,0.0,0.0,1.284,1.0,1.284,0.726,1.894,2.894,0.0,1.284,1.284
750000,634.95,63.41133573739004,0.0,0.0,1.513,1.0,1.513,0.937,2.17,3.17,0.0,1.513,1.513
1000000,613.5,289.3833962064859,0.182,0.0,0.754,0.818,1.678,0.752,2.39,3.39,0.56,1.678,2.238
1250000,635.1,63.50582650434525,0.0,0.0,1.523,1.0,1.523,0.941,2.175,3.175,0.0,1.523,1.523
1500000,742.8,32.06493411812973,0.0,0.0,0.952,1.0,0.952,0.952,2.904,3.656,0.0,0.952,0.952
1750000,740.85,35.8995473509068,0.0,0.0,0.939,1.0,0.939,0.939,2.878,3.611,0.0,0.939,0.939
2000000,721.95,58.48672926399629,0.0,0.0,0.938,1.0,0.938,0.938,2.751,3.751,0.0,0.938,0.938
2250000,714.75,158.72913248676187,0.047,0.0,0.753,0.953,1.002,0.908,2.659,3.659,0.155,1.002,1.157
2500000,633.0,62.13694553162394,0.0,0.0,1.664,1.0,1.664,0.942,2.162,2.901,0.0,1.664,1.664
2750000,738.6,39.749716980124525,0.0,0.0,0.924,1.0,0.924,0.924,2.848,3.604,0.0,0.924,0.924
3000000,711.0,166.520269036535,0.052,0.0,0.733,0.948,0.997,0.893,2.629,3.629,0.16,0.997,1.157
3250000,740.25,36.97887910686315,0.0,0.0,0.935,1.0,0.935,0.935,2.87,3.642,0.0,0.935,0.935
3500000,741.0,35.62302626111375,0.0,0.0,0.94,1.0,0.94,0.94,2.88,3.647,0.0,0.94,0.94
3750000,741.45,34.77639285492388,0.0,0.0,0.943,1.0,0.943,0.943,2.886,3.621,0.0,0.943,0.943
4000000,744.8,57.90474937343222,0.008,0.0,0.94,0.992,0.992,0.992,2.932,3.706,0.036,0.992,1.028
4250000,577.6,297.82249747122864,0.178,0.0,0.622,0.822,1.539,0.622,2.066,2.066,0.561,1.539,2.1
4500000,740.7,36.173332719007234,0.0,0.0,0.938,1.0,0.938,1.0,2.876,3.651,0.0,0.938,0.938
4750000,740.55,36.44444402100271,0.0,0.0,0.937,1.0,0.937,0.937,2.874,3.642,0.0,0.937,0.937
5000000,739.8,37.761885546142956,0.0,0.0,0.932,1.0,0.932,1.0,2.864,3.596,0.0,0.932,0.932
