Timesteps,Mean Reward,Std Reward,Death,Timeout,UnloadDanger,UnloadMarket,DangerMonitor.Danger,DeliveryMonitor.Delivery,EnvFriendlyMonitor.EnvFriendly,EvolvingMonitor.Evolving,PacifistMonitor.CTD,PacifistMonitor.Danger,PacifistMonitor.Pacifist(total)
0,69.65,180.9181513834364,0.477,0.22,0.874,0.303,3.266,2.774,0.525,0.636,1.427,3.266,4.693
250000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
500000,611.25,39.50870157319777,0.0,0.0,1.465,1.0,1.465,1.0,2.0,2.249,0.0,1.465,1.465
750000,555.0,128.33549781724463,0.0,0.0,1.486,1.0,1.486,0.925,2.186,3.186,0.0,1.486,1.486
1000000,636.9,64.60178016123086,0.0,0.0,1.485,1.0,1.485,0.932,2.178,3.178,0.0,1.485,1.485
1250000,637.5,144.46020213193668,0.037,0.0,1.302,0.963,1.533,0.894,2.098,3.098,0.157,1.533,1.69
1500000,638.25,65.37918246659252,0.0,0.0,1.496,1.0,1.496,0.939,2.194,3.194,0.0,1.496,1.496
1750000,741.15,35.343705238698455,0.0,0.0,0.941,1.0,0.941,0.575,2.882,3.642,0.0,0.941,0.941
2000000,739.95,37.50329985481278,0.0,0.0,0.933,1.0,0.933,0.933,2.866,3.612,0.0,0.933,0.933
2250000,740.4,36.71294049786805,0.0,0.0,0.936,1.0,0.936,0.936,2.872,3.622,0.0,0.936,0.936
2500000,50.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2750000,750.0,0.0,0.0,0.0,0.749,1.0,0.749,1.0,2.749,3.749,0.0,0.749,0.749
3000000,750.0,0.0,0.0,0.0,0.748,1.0,0.748,1.0,2.748,3.748,0.0,0.748,0.748
3250000,600.4,311.92922274131354,0.187,0.0,0.0,0.813,0.925,0.813,1.626,2.439,0.551,0.925,1.476
3500000,722.25,58.24463494606177,0.0,0.0,0.948,1.0,0.948,0.948,2.763,3.763,0.0,0.948,0.948
3750000,750.0,0.0,0.0,0.0,0.745,1.0,0.745,1.0,2.745,2.745,0.0,0.745,0.745
4000000,750.0,0.0,0.0,0.0,0.729,1.0,0.729,1.0,2.729,3.729,0.0,0.729,0.729
4250000,750.0,0.0,0.0,0.0,0.769,1.0,0.769,1.0,2.769,3.769,0.0,0.769,0.769
4500000,750.0,0.0,0.0,0.0,0.749,1.0,0.749,1.0,2.749,3.749,0.0,0.749,0.749
4750000,750.0,0.0,0.0,0.0,0.768,1.0,0.768,1.0,2.768,3.768,0.0,0.768,0.768
5000000,721.2,59.08096140043762,0.0,0.0,0.939,1.0,0.939,1.0,2.747,3.0,0.0,0.939,0.939
