Timesteps,Mean Reward,Std Reward,score,steps,CollectOneMonitor.CollectOne,CollectPermMonitor.CollectPerm,DrainMonitor.Drain,NoCollectMonitor.NoCollect,RescueMonitor.Rescue
0,-1074.93,71.80003551531156,23.45,1000.0,0.76,0.0,0.27,0.3,0.31
5000,-1054.631,112.27199979959383,39.2,995.81,0.72,0.0,0.32,0.38,0.34
10000,19.705,133.8043193435847,115.35,957.05,0.61,0.02,0.18,0.48,0.17
15000,223.037,101.35082008054991,269.55,481.13,0.43,0.09,0.59,0.71,0.37
20000,236.426,81.3851419117765,280.6,453.14,0.42,0.09,0.58,0.77,0.44
25000,245.71599999999998,75.5025492549755,284.85,370.14,0.46,0.15,0.67,0.67,0.44
30000,264.156,55.816327933679055,292.7,306.44,0.37,0.2,0.84,0.87,0.59
35000,272.6960000000001,26.312472023738096,298.0,265.44,0.3,0.25,0.81,0.92,0.52
40000,277.719,6.221184694252373,300.0,240.31,0.21,0.2,0.73,1.1,0.51
45000,279.75100000000003,4.429932166523547,300.0,222.99,0.26,0.2,0.92,1.08,0.58
50000,279.425,3.583612004667916,300.0,225.75,0.4,0.18,0.88,0.9,0.62
55000,280.367,3.83369417142265,300.0,216.23,0.28,0.27,1.12,1.01,0.77
60000,279.45399999999995,4.303752316293304,300.0,223.96,0.26,0.29,0.89,1.05,0.56
65000,277.394,7.925349456017699,300.0,223.26,0.25,0.25,0.88,1.02,0.51
70000,279.12699999999995,5.691693157576227,300.0,222.03,0.21,0.23,0.96,1.14,0.49
75000,258.476,82.86620556052992,284.0,271.14,0.28,0.19,0.85,0.95,0.61
80000,273.261,47.505824684979416,294.9,236.59,0.26,0.18,0.87,1.02,0.55
85000,279.54499999999996,3.5890214543800076,300.0,222.55,0.28,0.28,0.92,1.06,0.69
90000,280.08799999999997,3.72484308394327,300.0,218.12,0.29,0.3,0.71,0.94,0.52
95000,280.744,3.8176254399822924,300.0,217.36,0.3,0.28,0.96,0.98,0.75
100000,268.5059999999999,55.389977107776446,291.95,252.44,0.32,0.29,0.84,0.95,0.57
