Timesteps,Mean Reward,Std Reward,EmergencyMonitor.Emergency Violations,EmergencyMonitor.Safety Violations,EmergencyMonitor.Stay Violations,EmergencyMonitor.Warn Violations
0,-97.777,24.138336127413588,6.211,2.465,2.875,0.871
250000,-48.159,8.765940850815731,6.053,2.699,2.523,0.831
500000,-11.548,18.47976450066396,3.908,1.408,1.641,0.859
750000,2.156,5.337008900123739,2.674,0.857,0.828,0.989
1000000,2.711,5.387344336498272,2.676,0.829,0.864,0.983
1250000,2.28,6.106357342966427,2.598,0.83,0.774,0.994
1500000,1.631,6.988049727928387,2.727,0.865,0.888,0.974
1750000,3.504,4.470568643919921,2.631,0.749,0.899,0.983
2000000,3.157,4.838837773680783,2.633,0.781,0.852,1.0
2250000,3.028,4.77003312357472,2.723,0.783,0.957,0.983
2500000,0.288,8.762480014242543,3.055,0.846,1.254,0.955
2750000,3.412,4.469033005024689,2.56,0.802,0.774,0.984
3000000,1.987,6.303557011719653,2.712,0.854,0.886,0.972
3250000,3.699,4.498488523937791,2.625,0.742,0.883,1.0
3500000,3.51,4.67010706515386,2.704,0.778,0.937,0.989
3750000,3.778,4.351633716203605,2.37,0.801,0.569,1.0
4000000,2.822,5.499301410179297,2.644,0.807,0.853,0.984
4250000,3.301,4.626272689757922,2.372,0.805,0.605,0.962
4500000,3.584,5.340313099435276,2.454,0.766,0.699,0.989
4750000,3.732,4.363963336234621,2.521,0.778,0.768,0.975
5000000,2.875,5.956120801326985,2.454,0.817,0.637,1.0
