Timesteps,Mean Reward,Std Reward,EmergencyMonitor.Emergency Violations,EmergencyMonitor.Safety Violations,EmergencyMonitor.Stay Violations,EmergencyMonitor.Warn Violations
0,-97.636,24.779860855137986,6.303,2.462,2.97,0.871
250000,-45.952,12.972266417245677,6.679,2.345,3.599,0.735
500000,-15.236,21.163040991313135,4.147,1.48,1.776,0.891
750000,1.753,6.443600779067555,2.777,0.883,0.894,1.0
1000000,2.084,5.300843706430138,2.834,0.847,1.013,0.974
1250000,2.549,5.7965161088364106,2.755,0.817,0.959,0.979
1500000,2.822,4.526402103216196,2.804,0.817,0.995,0.992
1750000,3.213,4.406090216961065,2.663,0.81,0.901,0.952
2000000,3.282,4.816064368340606,2.663,0.786,0.877,1.0
2250000,3.08,4.66964666757561,2.789,0.814,0.975,1.0
2500000,3.121,4.585232709470698,2.691,0.774,0.934,0.983
2750000,3.314,4.587091017191614,2.631,0.818,0.833,0.98
3000000,2.24,6.741987837425992,2.673,0.846,0.846,0.981
3250000,3.424,4.412960910771814,2.644,0.789,0.885,0.97
3500000,2.988,4.791018263375751,2.761,0.79,0.989,0.982
3750000,2.926,5.813649800254571,2.588,0.807,0.789,0.992
4000000,1.789,7.715081269824706,2.824,0.827,1.007,0.99
4250000,3.461,4.4200089366425495,2.636,0.807,0.829,1.0
4500000,3.16,4.9509998990103,2.691,0.783,0.908,1.0
4750000,3.237,4.595958115561977,2.673,0.77,0.925,0.978
5000000,3.494,4.48976213178382,2.535,0.811,0.724,1.0
