Timesteps,Mean Reward,Std Reward,ConditionalVeganMonitor.ConditionalVegan,HungryMonitor.Hungr,HungryVeganMonitor.Hungr,HungryVeganMonitor.VegetarianBlue,HungryVeganMonitor.VegetarianOrange,HungryVeganPenaltyMonitor.CTD Violations,HungryVeganPenaltyMonitor.Hungr,HungryVeganPenaltyMonitor.VegetarianBlue,HungryVeganPenaltyMonitor.VegetarianOrange,HungryVegetarianMonitor.Hungr,HungryVegetarianMonitor.VegetarianOrange,PenaltyMonitor.CTD,PenaltyMonitor.Penalty(total),VeganMonitor.Vegan,VeganPreferenceMonitor.VegetarianBlue,VeganPreferenceMonitor.VegetarianOrange,VegetarianBlueMonitor.VegetarianBlue,VegetarianOrangeMonitor.VegetarianOrange
0,-5.506030000000001,0.579744201437151,0.0,0.993,0.993,0.001,0.002,0.003,0.993,0.001,0.002,0.993,0.002,0.0,0.003,0.003,0.001,0.002,0.001,0.002
250000,8.875259999999999,5.815005806738288,0.895,0.802,0.802,1.074,1.109,2.127,0.802,1.074,1.109,0.802,1.109,1.967,4.15,2.183,1.074,1.109,1.074,1.109
500000,12.66718,5.336759245797022,1.338,0.767,0.767,1.392,1.368,2.697,0.767,1.392,1.368,0.767,1.368,2.647,5.407,2.76,1.392,1.368,1.392,1.368
750000,13.616119999999999,5.008123195928791,1.405,0.957,0.957,1.507,1.459,2.902,0.957,1.507,1.459,0.957,1.459,2.845,5.811,2.966,1.507,1.459,1.507,1.459
1000000,13.80083,4.610438787263095,1.479,0.773,0.773,1.541,1.52,2.997,0.773,1.541,1.52,0.773,1.52,2.953,6.014,3.061,1.541,1.52,1.541,1.52
1250000,13.94265,5.471835256794561,1.718,0.789,0.789,1.736,1.691,3.358,0.789,1.736,1.691,0.789,1.691,3.266,6.693,3.427,1.736,1.691,1.736,1.691
1500000,14.95177,4.597994450529492,1.795,0.754,0.754,1.767,1.773,3.456,0.754,1.767,1.773,0.754,1.773,3.39,6.93,3.54,1.767,1.773,1.767,1.773
1750000,14.25745,5.342874600577858,1.732,0.821,0.821,1.774,1.744,3.443,0.821,1.774,1.744,0.821,1.744,3.358,6.876,3.518,1.774,1.744,1.774,1.744
2000000,14.685990000000002,4.8906327831784715,1.728,0.787,0.787,1.757,1.727,3.384,0.787,1.757,1.727,0.787,1.727,3.32,6.804,3.484,1.757,1.727,1.757,1.727
2250000,14.668940000000001,4.662243137846845,1.73,0.786,0.786,1.787,1.74,3.434,0.786,1.787,1.74,0.786,1.74,3.375,6.902,3.527,1.787,1.74,1.787,1.74
2500000,14.47545,5.417112680893762,1.873,0.782,0.782,1.776,1.803,3.49,0.782,1.776,1.803,0.782,1.803,3.396,6.975,3.579,1.776,1.803,1.776,1.803
2750000,14.52368,5.145372975557748,1.79,0.87,0.87,1.77,1.846,3.517,0.87,1.77,1.846,0.87,1.846,3.432,7.048,3.616,1.77,1.846,1.77,1.846
3000000,13.971119999999999,5.724188881020611,1.774,0.856,0.856,1.773,1.786,3.474,0.856,1.773,1.786,0.856,1.786,3.378,6.937,3.559,1.773,1.786,1.773,1.786
3250000,13.883260000000002,5.856242769250605,1.829,0.897,0.897,1.757,1.789,3.467,0.897,1.757,1.789,0.897,1.789,3.379,6.925,3.546,1.757,1.789,1.757,1.789
3500000,14.68228,5.188959780302792,1.77,0.845,0.845,1.799,1.844,3.568,0.845,1.799,1.844,0.845,1.844,3.389,7.032,3.643,1.799,1.844,1.799,1.844
3750000,14.48348,5.2721475216082485,1.841,0.759,0.759,1.809,1.851,3.556,0.759,1.809,1.851,0.759,1.851,3.415,7.075,3.66,1.809,1.851,1.809,1.851
4000000,14.67125,5.089858439829147,1.806,0.784,0.784,1.767,1.852,3.529,0.784,1.767,1.852,0.784,1.852,3.396,7.015,3.619,1.767,1.852,1.767,1.852
4250000,14.540260000000002,5.503917961997617,1.917,0.81,0.81,1.816,1.825,3.568,0.81,1.816,1.825,0.81,1.825,3.409,7.05,3.641,1.816,1.825,1.816,1.825
4500000,14.229049999999999,5.3401143805633975,1.753,0.898,0.898,1.713,1.783,3.417,0.898,1.713,1.783,0.898,1.783,3.271,6.767,3.496,1.713,1.783,1.713,1.783
4750000,13.822529999999999,5.721878528866197,1.864,0.788,0.788,1.767,1.84,3.528,0.788,1.767,1.84,0.788,1.84,3.38,6.987,3.607,1.767,1.84,1.767,1.84
5000000,14.491740000000002,5.268722062549893,1.782,0.876,0.876,1.79,1.784,3.505,0.876,1.79,1.784,0.876,1.784,3.432,7.006,3.574,1.79,1.784,1.79,1.784
