Timesteps,Mean Reward,Std Reward,score,steps,CollectOneMonitor.CollectOne,CollectPermMonitor.CollectPerm,DrainMonitor.Drain,NoCollectMonitor.NoCollect,RescueMonitor.Rescue
0,-90.0,48.98979485566356,10.0,1000.0,0.61,0.0,0.04,0.48,0.04
5000,-90.0,48.98979485566356,10.0,1000.0,0.71,0.0,0.03,0.36,0.03
10000,110.32300000000001,145.33092916168945,188.2,783.97,0.56,0.17,0.34,0.52,0.26
15000,192.22499999999997,129.97691439251818,245.75,549.75,0.57,0.17,0.46,0.55,0.35
20000,221.15099999999998,106.42591554222118,267.25,473.99,0.45,0.12,0.69,0.67,0.5
25000,245.22300000000004,78.1454577758682,283.25,399.27,0.49,0.11,0.56,0.71,0.4
30000,266.54,39.93072501220082,295.25,302.6,0.38,0.19,0.74,0.85,0.53
35000,276.733,5.461502632060154,300.0,251.67,0.32,0.29,0.88,0.91,0.61
40000,276.817,18.54935608046813,299.0,242.33,0.34,0.17,0.98,0.94,0.78
45000,279.183,4.137198448225561,300.0,228.17,0.36,0.23,0.73,0.93,0.58
50000,279.168,4.606883545304789,300.0,228.82,0.21,0.3,1.01,1.05,0.7
55000,276.439,30.551641183412723,297.75,233.11,0.27,0.27,0.92,1.04,0.56
60000,278.911,3.8984585415263817,300.0,227.39,0.28,0.22,0.98,1.0,0.63
65000,279.406,3.719430601584062,300.0,220.44,0.32,0.16,0.81,0.91,0.46
70000,279.885,3.613236084177172,300.0,220.15,0.33,0.24,0.79,0.91,0.56
75000,279.786,4.1107911647272966,300.0,222.64,0.26,0.16,0.9,1.04,0.59
80000,279.79599999999994,4.500553743707544,300.0,220.04,0.26,0.24,0.88,0.98,0.6
85000,279.592,4.100918921412613,300.0,220.58,0.27,0.28,1.03,1.02,0.63
90000,279.56499999999994,3.8974446756817485,300.0,224.35,0.3,0.19,0.83,0.96,0.46
95000,279.681,3.896221117955192,300.0,223.69,0.24,0.23,0.99,1.04,0.71
100000,278.73,3.9946088669605673,300.0,230.2,0.19,0.29,0.91,1.19,0.56
