Timesteps,Mean Reward,Std Reward,Death,Timeout,UnloadDanger,UnloadMarket,DangerMonitor.Danger,DeliveryMonitor.Delivery,EnvFriendlyMonitor.EnvFriendly,EvolvingMonitor.Evolving,PacifistMonitor.CTD,PacifistMonitor.Danger,PacifistMonitor.Pacifist(total)
0,80.6,195.6620555958666,0.457,0.22,0.861,0.323,3.194,2.69,0.566,0.666,1.403,3.194,4.597
250000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0
500000,478.05,58.48672926399629,0.0,0.0,1.317,1.0,1.317,0.752,1.187,2.187,0.0,1.317,1.317
750000,629.7,154.34672008176915,0.045,0.0,1.337,0.955,1.562,0.895,2.093,3.093,0.135,1.562,1.697
1000000,632.85,152.31013590697108,0.043,0.0,1.32,0.957,1.546,0.894,2.102,3.102,0.14,1.546,1.686
1250000,632.4,61.7271415181361,0.0,0.0,1.544,1.0,1.544,0.952,2.168,3.168,0.0,1.544,1.544
1500000,637.05,64.69001082083695,0.0,0.0,1.507,1.0,1.507,1.0,2.195,2.195,0.0,1.507,1.507
1750000,626.1,165.93308892442158,0.054,0.0,1.307,0.946,1.569,0.905,2.087,3.087,0.154,1.569,1.723
2000000,640.5,66.59391864126934,0.0,0.0,1.494,1.0,1.494,0.934,2.204,3.204,0.0,1.494,1.494
2250000,637.65,65.03827719120487,0.0,0.0,1.496,1.0,1.496,0.951,2.202,3.202,0.0,1.496,1.496
2500000,627.15,57.7527272083319,0.0,0.0,1.339,1.0,1.339,1.0,1.941,2.701,0.0,1.339,1.339
2750000,641.7,67.2020088985441,0.0,0.0,1.476,1.0,1.476,0.938,2.216,3.216,0.0,1.476,1.476
3000000,663.6,74.1285370151064,0.0,0.0,1.336,1.0,1.336,1.0,2.184,2.944,0.0,1.336,1.336
3250000,641.85,67.27612875307258,0.0,0.0,1.665,1.0,1.665,1.0,2.223,2.96,0.0,1.665,1.665
3500000,663.15,74.05793340351863,0.0,0.0,1.342,1.0,1.342,1.0,2.184,2.947,0.0,1.342,1.342
3750000,750.0,0.0,0.0,0.0,0.757,1.0,0.757,1.0,2.757,3.514,0.0,0.757,0.757
4000000,750.0,0.0,0.0,0.0,0.763,1.0,0.763,1.0,2.763,3.526,0.0,0.763,0.763
4250000,694.8,116.24525796779841,0.0,0.0,0.945,1.0,0.945,1.0,2.761,3.761,0.0,0.945,0.945
4500000,654.75,249.72972890707265,0.127,0.0,0.748,0.873,1.444,0.873,2.494,3.242,0.442,1.444,1.886
4750000,750.0,0.0,0.0,0.0,0.758,1.0,0.758,1.0,2.758,3.516,0.0,0.758,0.758
5000000,750.0,0.0,0.0,0.0,0.733,1.0,0.733,1.0,2.733,3.466,0.0,0.733,0.733
